record_type,path_id,path_group,stage,state_id,global_hour,origin_site,destination_site,flow_kg,ex_post_origin_target_kg,ex_post_destination_target_kg,proxy_origin_target_kg,proxy_destination_target_kg,ex_post_aligned_kg,information_proxy_aligned_kg,ex_post_non_aligned_kg,conservative_expost_nonaligned_but_information_aligned_kg,strict_flow_row_reversal,alignment_scope,group,path_count_with_HTT,flow_row_count,total_HTT_kg,ex_post_aligned_HTT_kg,ex_post_alignment_fraction,information_proxy_aligned_HTT_kg,information_proxy_alignment_fraction,strict_reversal_path_count,strict_reversal_flow_row_count,proxy_limit
FLOW,272,mixed,5,221,33,3,2,10.4707992068,49.0958186212,108.973506743,21.0605005573,37.7043319517,3.65709134447,0,6.81370786232,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,272,mixed,6,262,41,2,3,3.58211202423,108.973506743,49.0958186212,68.0043089923,36.9443240209,3.58211202423,3.58211202423,0,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,272,mixed,6,262,46,2,4,19.8261793238,108.973506743,191.483163741,68.0043089923,89.8269765205,19.8261793238,0,0,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,273,positive_target_adequate,4,125,25,3,1,16.6711273513,21.0048007503,84.2807927532,16.4290419124,70.9719684947,0,0,16.6711273513,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,273,positive_target_adequate,4,125,31,2,4,18.7688136145,19.6383954592,55.6417675651,29.4975087587,43.3769892772,0,0,18.7688136145,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,274,other,4,86,32,2,3,6.44132847649,0,0,0.695844108908,0.670291948209,0,0,6.44132847649,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,277,positive_target_adequate,4,212,25,2,1,18.196182708,0,3.27305014181,48.5797889413,122.714215667,0,0,18.196182708,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,277,positive_target_adequate,4,212,25,3,1,52.6742263569,0,3.27305014181,26.0342447175,122.714215667,0,0,52.6742263569,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,277,positive_target_adequate,5,222,33,1,3,8.79377992886,3.27305014181,0,95.7194729988,19.3518908719,0,6.00527291043,8.79377992886,6.00527291043,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,277,positive_target_adequate,5,222,33,2,3,4.00057227646,0,0,33.3513433439,19.3518908719,0,4.00057227646,4.00057227646,4.00057227646,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,278,other,5,93,38,2,3,3.27939565494,0,0,1.39569970541,0.928304794574,0,0,3.27939565494,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,282,mixed,3,220,17,3,1,18.1556614503,44.1862627463,222.566581025,24.4947552346,115.943872763,3.89085992295,0.788516801092,14.2648015274,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,282,mixed,3,220,20,4,1,11.1585050367,116.193766196,222.566581025,61.4111556924,115.943872763,0,0,11.1585050367,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,283,other,5,78,33,2,3,6.53043861994,0,0,1.08012962388,0.821854656921,0,0,6.53043861994,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,283,other,5,78,40,2,4,4.11789987484,0,0,1.08012962388,2.21088938196,0,0,4.11789987484,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,284,other,3,93,17,2,3,0.770236481796,0,0,1.39569970541,0.928304794574,0,0,0.770236481796,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,285,pure_location,4,149,25,3,1,7.97390647092,29.4574724764,169.268163717,12.0057314001,52.1595633069,0,0,7.97390647092,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,285,pure_location,4,149,32,2,4,12.1896479787,50.7550168597,67.4600784407,21.5229430791,30.5160044808,9.40715834598,0,2.78248963271,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,285,pure_location,4,149,32,3,4,3.52113619238,29.4574724764,67.4600784407,12.0057314001,30.5160044808,0,0,3.52113619238,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,285,pure_location,5,214,33,2,1,14.030251188,50.7550168597,169.268163717,48.6567954331,105.367403039,1.11751036729,3.21573179396,12.9127408207,2.09822142667,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,285,pure_location,5,214,33,3,1,9.61116185541,29.4574724764,169.268163717,22.9469140891,105.367403039,0,1.29568474817,9.61116185541,1.29568474817,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,285,pure_location,5,214,36,4,1,2.74902045111,67.4600784407,169.268163717,54.3445013045,105.367403039,2.74902045111,0,0,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,289,pure_location,4,132,25,2,4,14.7287553378,82.4559747849,85.6444457484,30.2027822469,43.2157300951,0,0,14.7287553378,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,289,pure_location,5,173,37,3,1,35.9580643484,34.3670602262,184.298449791,33.1465091317,153.345093506,22.3471795764,0,13.610884772,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,290,other,4,157,25,2,3,1.43902990967,0,0,19.0578084512,10.4529729741,0,0,1.43902990967,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
