record_type,terminal_a,terminal_loc,early_arrival_after_stage,late_arrival_after_stage,early_path_count,late_path_count,descriptive_only,early_mean_cumulative_production_kg,early_CI95_low_cumulative_production_kg,early_CI95_high_cumulative_production_kg,early_mean_ending_inventory_kg,early_CI95_low_ending_inventory_kg,early_CI95_high_ending_inventory_kg,early_mean_htt_kg,early_CI95_low_htt_kg,early_CI95_high_htt_kg,early_mean_ordinary_shortage_kg,early_CI95_low_ordinary_shortage_kg,early_CI95_high_ordinary_shortage_kg,early_mean_terminal_gap_kg,early_CI95_low_terminal_gap_kg,early_CI95_high_terminal_gap_kg,late_mean_cumulative_production_kg,late_minus_early_mean_cumulative_production_kg,late_mean_ending_inventory_kg,late_minus_early_mean_ending_inventory_kg,late_mean_htt_kg,late_minus_early_mean_htt_kg,late_mean_ordinary_shortage_kg,late_minus_early_mean_ordinary_shortage_kg,late_mean_terminal_gap_kg,late_minus_early_mean_terminal_gap_kg
ARRIVAL_GROUP,4,3,3,,6,,YES,295.402084406,252.014736484,338.789432329,335.078412424,299.254906929,370.901917919,97.3890396449,44.3696577804,150.408421509,17.0379187454,3.67231565356,30.4035218373,104.647724728,79.6429767648,129.65247269,,,,,,,,,,
ARRIVAL_GROUP,4,3,4,,30,,NO,363.201680625,342.695088156,383.708273094,358.724497498,340.501375459,376.947619538,125.188117301,102.401429235,147.974805366,11.8953357387,6.33822872957,17.4524427479,89.6454333953,74.6074064292,104.683460361,,,,,,,,,,
ARRIVAL_GROUP,4,3,5,,21,,YES,466.990391261,442.366146984,491.614635539,406.687284161,382.376172443,430.998395879,142.038909369,117.8531563,166.224662439,15.5624176958,6.35710408239,24.7677313092,69.3559534807,57.7904434115,80.9214635498,,,,,,,,,,
ARRIVAL_GROUP,4,3,6,,3,,YES,493.229323367,439.938913629,546.519733106,407.777466065,379.538976859,436.015955272,177.528272038,58.1199559634,296.936588114,35.9097334259,0.146479186349,71.6729876655,62.276524645,34.3138722916,90.2391769983,,,,,,,,,,
ARRIVAL_GROUP,4,4,3,,5,,YES,296.748775485,256.404425505,337.093125466,347.205900427,304.414655417,389.997145438,101.545890954,64.0974512372,138.994330671,27.8187156697,11.0692094248,44.5682219146,150.251071492,128.517217053,171.984925931,,,,,,,,,,
ARRIVAL_GROUP,4,4,4,,34,,NO,374.148448189,347.278041824,401.018854553,367.637513534,341.455561248,393.81946582,141.814783793,121.315647653,162.313919932,9.86158421086,4.9879548002,14.7352136215,137.999253787,120.988075659,155.010431915,,,,,,,,,,
ARRIVAL_GROUP,4,4,5,,20,,YES,423.044407686,385.133357193,460.95545818,367.22284991,330.152965133,404.292734688,176.053701343,134.257178211,217.850224474,20.0439670203,8.05885466042,32.0290793802,144.508384493,120.725598163,168.291170822,,,,,,,,,,
ARRIVAL_GROUP,4,4,6,,6,,YES,467.229220927,400.209268883,534.249172971,363.75930818,299.627994952,427.890621408,109.532949752,62.0706700636,156.99522944,17.8916779807,-0.978834048103,36.7621900096,129.381568849,83.7294996363,175.033638062,,,,,,,,,,
ARRIVAL_GROUP,4,5,3,,5,,YES,297.499102066,256.169436443,338.82876769,343.50943654,294.573126126,392.445746954,72.3157028349,53.5043465575,91.1270591124,23.3719252018,3.70479998202,43.0390504216,43.1862341993,20.2558759169,66.1165924817,,,,,,,,,,
ARRIVAL_GROUP,4,5,4,,29,,YES,347.404683298,320.405902936,374.403463661,343.148362247,314.818460614,371.478263879,126.503017153,99.987373219,153.018661087,12.1161978139,5.82847064604,18.4039249817,65.5464147626,51.3361090784,79.7567204468,,,,,,,,,,
ARRIVAL_GROUP,4,5,5,,17,,YES,403.00469678,358.264353466,447.745040094,342.548361497,297.017077595,388.0796454,126.498459735,89.0054546578,163.991464811,15.4091895136,3.02723219351,27.7911468337,74.1086439385,55.599485207,92.61780267,,,,,,,,,,
ARRIVAL_GROUP,4,5,6,,8,,YES,504.589918914,450.120572139,559.059265689,391.121243916,335.318436632,446.9240512,193.130168268,86.0786179949,300.181718542,7.89291573022,-0.417800308135,16.2036317686,49.2851575759,23.3359679101,75.2343472417,,,,,,,,,,
ARRIVAL_GROUP,4,6,3,,4,,YES,304.633823306,274.780104474,334.487542139,327.735530198,297.08117197,358.389888426,86.5326850561,29.1857214774,143.879648635,0.463297619679,-0.444765714891,1.37136095425,27.2855187142,17.2639061501,37.3071312784,,,,,,,,,,
ARRIVAL_GROUP,4,6,4,,19,,YES,372.69978285,345.955339558,399.444226143,367.051948047,342.223474781,391.880421312,136.056107122,106.081017286,166.031196959,10.724684062,3.33230631406,18.1170618098,22.2177408056,12.6870827786,31.7483988326,,,,,,,,,,
ARRIVAL_GROUP,4,6,5,,18,,YES,440.907507572,408.664978698,473.150036447,383.019420474,351.500043988,414.53879696,183.046309423,135.311785802,230.780833044,17.9774376978,5.66424720727,30.2906281884,20.150448402,12.9646766444,27.3362201597,,,,,,,,,,
ARRIVAL_GROUP,4,6,6,,2,,YES,554.004167331,520.036512376,587.971822285,432.642576603,398.674921648,466.610231557,224.261594473,83.8459537248,364.67723522,0,0,0,25.1094153862,20.8012232007,29.4176075718,,,,,,,,,,
ARRIVAL_GROUP,4,7,3,,8,,YES,294.152974748,254.554684212,333.751265285,316.791384021,277.193093484,356.389674557,108.873485556,78.5683673421,139.17860377,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,4,7,4,,34,,NO,370.504675171,351.684847025,389.324503317,365.543013132,345.907408335,385.17861793,145.82314331,124.800939621,166.845346998,11.4108568268,6.2422245551,16.5794890984,0.619271613285,-0.0421108890252,1.2806541156,,,,,,,,,,
ARRIVAL_GROUP,4,7,5,,52,,NO,419.952556429,397.708116838,442.196996021,358.739366376,336.465287201,381.013445551,139.896374547,115.584612347,164.208136747,14.652334743,8.73613668622,20.5685327998,0.724946917579,0.117845571187,1.33204826397,,,,,,,,,,
ARRIVAL_GROUP,4,7,6,,10,,YES,448.55226221,407.65774085,489.44678357,340.930908263,295.328842819,386.532973708,145.598436731,77.0890161837,214.107857277,13.7402367813,3.63936021079,23.8411133517,0.650925533858,-0.624888512504,1.92673958022,,,,,,,,,,
ARRIVAL_GROUP,5,1,4,,4,,YES,379.351550105,340.064397891,418.638702319,394.946828344,375.345431646,414.548225041,220.828165971,196.656127473,245.000204468,31.9677971044,7.17197983523,56.7636143736,214.496878786,189.298659967,239.695097604,,,,,,,,,,
