interval_type,section,group,metric,denominator,N,mean,std,SE,CI_low,CI_high,events,probability
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage3,cumulative_production_kg,ACTIVE_PATHS,7905,280.065918291,34.0491243054,0.382961406782,279.315313933,280.816522648,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage3,electrolyzer_utilization,ACTIVE_PATHS,7905,0.472546370197,0.219967557224,0.00247404557031,0.467697240879,0.477395499514,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage3_Site1,production_kg,ACTIVE_PATHS,7905,29.4136346225,12.0598276981,0.135640744807,29.1477787626,29.6794904823,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage3_Site2,production_kg,ACTIVE_PATHS,7905,9.41738767057,8.5522547911,0.0961899488687,9.22885537078,9.60591997035,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage3_Site3,production_kg,ACTIVE_PATHS,7905,4.61948615736,3.79798041141,0.0427171021563,4.53576063713,4.70321167758,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage3_Site4,production_kg,ACTIVE_PATHS,7905,13.3117615376,5.21902606821,0.0587000578103,13.1967094243,13.4268136509,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage3,beginning_inventory_kg,ACTIVE_PATHS,7905,293.83120852,19.3367799961,0.217486958065,293.404934082,294.257482958,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage3,ending_inventory_kg,ACTIVE_PATHS,7905,307.92777376,44.9926170359,0.506046374654,306.935922866,308.919624655,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage3_Site1,ending_inventory_kg,ACTIVE_PATHS,7905,131.672253281,27.0084930616,0.303773172113,131.076857864,132.267648699,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage3_Site2,ending_inventory_kg,ACTIVE_PATHS,7905,81.3469141043,23.0720922348,0.25949921121,80.8382956503,81.8555325583,,
