terminal_a,terminal_loc,terminal_state_id,path_count,path_share,metric,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
2.0,5.0,95.0,645,0.0645,site4_cumulative_production_kg,74.88472318220376,42.056192537823904,-32.82853064438006,-33.60726185286461,-32.04979943589551,NO
2.0,5.0,95.0,645,0.0645,site4_last_active_production_kg,10.604849678080916,7.026030449939053,-3.5788192281418794,-4.041272299000196,-3.116366157283562,NO
2.0,6.0,103.0,527,0.0527,production_kg,347.34827845524904,179.32233632819955,-168.02594212704912,-171.49994561186557,-164.55193864223267,NO
2.0,6.0,103.0,527,0.0527,stage1_production_kg,120.12000000000108,109.98000000000118,-10.140000000000045,-10.140000000000049,-10.140000000000041,NO
2.0,6.0,103.0,527,0.0527,stage2_6_production_kg,227.22827845524884,69.34233632819951,-157.88594212704916,-161.3599456118656,-154.4119386422327,NO
2.0,6.0,103.0,527,0.0527,last_active_stage_production_kg,42.16903014044852,20.07581544883378,-22.09321469161472,-23.984240036541102,-20.202189346688336,NO
2.0,6.0,103.0,527,0.0527,terminal_inventory_kg,315.9257000680835,145.65256558053338,-170.2731344875501,-173.4380505795108,-167.1082183955894,NO
2.0,6.0,103.0,527,0.0527,terminal_target_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,6.0,103.0,527,0.0527,terminal_gap_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,6.0,103.0,527,0.0527,terminal_surplus_kg,315.9257000680835,145.65256558053338,-170.2731344875501,-173.4380505795108,-167.1082183955894,NO
