complexity_label,initial_state_id,scenario_index,path_id,site_id,T_representative,T_min,T_max,range_width,multiple_optimum_flag
simple,7,63,63,4,0,0,5e-09,5e-09,0
simple,7,64,64,1,0,0,5e-09,5e-09,0
simple,7,64,64,2,0,0,5e-09,5e-09,0
simple,7,64,64,3,0,0,5e-09,5e-09,0
simple,7,64,64,4,0,0,5e-09,5e-09,0
simple,7,65,65,1,0,0,5e-09,5e-09,0
simple,7,65,65,2,0,0,5e-09,5e-09,0
simple,7,65,65,3,0,0,5e-09,5e-09,0
simple,7,65,65,4,0,0,5e-09,5e-09,0
simple,7,66,66,1,0,0,5e-09,5e-09,0
simple,7,66,66,2,0,0,5e-09,5e-09,0
simple,7,66,66,3,0,0,5e-09,5e-09,0
simple,7,66,66,4,0,0,5e-09,5e-09,0
simple,7,67,67,1,0,0,5e-09,5e-09,0
simple,7,67,67,2,0,0,5e-09,5e-09,0
simple,7,67,67,3,0,0,5e-09,5e-09,0
simple,7,67,67,4,0,0,5e-09,5e-09,0
simple,7,68,68,1,0,0,5e-09,5e-09,0
simple,7,68,68,2,0,0,5e-09,5e-09,0
simple,7,68,68,3,0,0,5e-09,5e-09,0
simple,7,68,68,4,0,0,5e-09,5e-09,0
simple,7,69,69,1,0,0,5e-09,5e-09,0
simple,7,69,69,2,0,0,5e-09,5e-09,0
simple,7,69,69,3,0,0,5e-09,5e-09,0
simple,7,69,69,4,0,0,5e-09,5e-09,0
simple,7,70,70,1,0,0,5e-09,5e-09,0
simple,7,70,70,2,0,0,5e-09,5e-09,0
simple,7,70,70,3,0,0,5e-09,5e-09,0
simple,7,70,70,4,0,0,5e-09,5e-09,0
simple,7,71,71,1,0,0,5e-09,5e-09,0
simple,7,71,71,2,0,0,5e-09,5e-09,0
simple,7,71,71,3,0,0,5e-09,5e-09,0
simple,7,71,71,4,0,0,5e-09,5e-09,0
simple,7,72,72,1,0,0,5e-09,5e-09,0
simple,7,72,72,2,0,0,5e-09,5e-09,0
simple,7,72,72,3,0,0,5e-09,5e-09,0
simple,7,72,72,4,0,0,5e-09,5e-09,0
simple,7,73,73,1,0,0,5e-09,5e-09,0
simple,7,73,73,2,0,0,5e-09,5e-09,0
simple,7,73,73,3,0,0,5e-09,5e-09,0
simple,7,73,73,4,0,0,5e-09,5e-09,0
simple,7,74,74,1,0,0,5e-09,5e-09,0
simple,7,74,74,2,0,0,5e-09,5e-09,0
simple,7,74,74,3,0,0,5e-09,5e-09,0
simple,7,74,74,4,0,0,5e-09,5e-09,0
simple,7,75,75,1,0,0,5e-09,5e-09,0
simple,7,75,75,2,0,0,5e-09,5e-09,0
simple,7,75,75,3,0,0,5e-09,5e-09,0
simple,7,75,75,4,0,0,5e-09,5e-09,0
simple,7,76,76,1,0,0,5e-09,5e-09,0
simple,7,76,76,2,0,0,5e-09,5e-09,0
simple,7,76,76,3,0,0,5e-09,5e-09,0
simple,7,76,76,4,0,0,5e-09,5e-09,0
simple,7,77,77,1,0,0,5e-09,5e-09,0
simple,7,77,77,2,0,0,5e-09,5e-09,0
simple,7,77,77,3,0,0,5e-09,5e-09,0
simple,7,77,77,4,0,0,5e-09,5e-09,0
simple,7,78,78,1,0,0,5e-09,5e-09,0
simple,7,78,78,2,0,0,5e-09,5e-09,0
simple,7,78,78,3,0,0,5e-09,5e-09,0
simple,7,78,78,4,0,0,5e-09,5e-09,0
simple,7,79,79,1,0,0,5e-09,5e-09,0
simple,7,79,79,2,0,0,5e-09,5e-09,0
simple,7,79,79,3,0,0,5e-09,5e-09,0
simple,7,79,79,4,0,0,5e-09,5e-09,0
simple,7,80,80,1,0,0,5e-09,5e-09,0
simple,7,80,80,2,0,0,5e-09,5e-09,0
simple,7,80,80,3,0,0,5e-09,5e-09,0
simple,7,80,80,4,0,0,5e-09,5e-09,0
simple,7,81,81,1,0,0,5e-09,5e-09,0
simple,7,81,81,2,0,0,5e-09,5e-09,0
simple,7,81,81,3,0,0,5e-09,5e-09,0
simple,7,81,81,4,0,0,5e-09,5e-09,0
simple,7,82,82,1,0,0,5e-09,5e-09,0
simple,7,82,82,2,0,0,5e-09,5e-09,0
simple,7,82,82,3,0,0,5e-09,5e-09,0
simple,7,82,82,4,0,0,5e-09,5e-09,0
simple,7,83,83,1,0,0,5e-09,5e-09,0
simple,7,83,83,2,0,0,5e-09,5e-09,0
simple,7,83,83,3,0,0,5e-09,5e-09,0
simple,7,83,83,4,0,0,5e-09,5e-09,0
simple,7,84,84,1,0,0,5e-09,5e-09,0
simple,7,84,84,2,0,0,5e-09,5e-09,0
simple,7,84,84,3,0,0,5e-09,5e-09,0
simple,7,84,84,4,0,0,5e-09,5e-09,0
simple,7,85,85,1,0,0,5e-09,5e-09,0
simple,7,85,85,2,0,0,5e-09,5e-09,0
simple,7,85,85,3,0,0,5e-09,5e-09,0
simple,7,85,85,4,0,0,5e-09,5e-09,0
simple,7,86,86,1,0,0,5e-09,5e-09,0
simple,7,86,86,2,0,0,5e-09,5e-09,0
simple,7,86,86,3,0,0,5e-09,5e-09,0
simple,7,86,86,4,0,0,5e-09,5e-09,0
simple,7,87,87,1,0,0,5e-09,5e-09,0
simple,7,87,87,2,0,0,5e-09,5e-09,0
simple,7,87,87,3,0,0,5e-09,5e-09,0
simple,7,87,87,4,0,0,5e-09,5e-09,0
simple,7,88,88,1,0,0,5e-09,5e-09,0
simple,7,88,88,2,0,0,5e-09,5e-09,0
simple,7,88,88,3,0,0,5e-09,5e-09,0
simple,7,88,88,4,0,0,5e-09,5e-09,0
simple,7,89,89,1,0,0,5e-09,5e-09,0
simple,7,89,89,2,0,0,5e-09,5e-09,0
simple,7,89,89,3,0,0,5e-09,5e-09,0
simple,7,89,89,4,0,0,5e-09,5e-09,0
simple,7,90,90,1,0,0,5e-09,5e-09,0
simple,7,90,90,2,0,0,5e-09,5e-09,0
simple,7,90,90,3,0,0,5e-09,5e-09,0
simple,7,90,90,4,0,0,5e-09,5e-09,0
simple,7,91,91,1,0,0,5e-09,5e-09,0
simple,7,91,91,2,0,0,5e-09,5e-09,0
simple,7,91,91,3,0,0,5e-09,5e-09,0
simple,7,91,91,4,0,0,5e-09,5e-09,0
simple,7,92,92,1,0,0,5e-09,5e-09,0
simple,7,92,92,2,0,0,5e-09,5e-09,0
simple,7,92,92,3,0,0,5e-09,5e-09,0
simple,7,92,92,4,0,0,5e-09,5e-09,0
simple,7,93,93,1,0,0,5e-09,5e-09,0
simple,7,93,93,2,0,0,5e-09,5e-09,0
simple,7,93,93,3,0,0,5e-09,5e-09,0
simple,7,93,93,4,0,0,5e-09,5e-09,0
simple,7,94,94,1,0,0,5e-09,5e-09,0
simple,7,94,94,2,0,0,5e-09,5e-09,0
simple,7,94,94,3,0,0,5e-09,5e-09,0
simple,7,94,94,4,0,0,5e-09,5e-09,0
simple,7,95,95,1,0,0,5e-09,5e-09,0
simple,7,95,95,2,0,0,5e-09,5e-09,0
simple,7,95,95,3,0,0,5e-09,5e-09,0
simple,7,95,95,4,0,0,5e-09,5e-09,0
simple,7,96,96,1,0,0,5e-09,5e-09,0
simple,7,96,96,2,0,0,5e-09,5e-09,0
simple,7,96,96,3,0,0,5e-09,5e-09,0
simple,7,96,96,4,0,0,5e-09,5e-09,0
simple,7,97,97,1,0,0,5e-09,5e-09,0
simple,7,97,97,2,0,0,5e-09,5e-09,0
simple,7,97,97,3,0,0,5e-09,5e-09,0
simple,7,97,97,4,0,0,5e-09,5e-09,0
simple,7,98,98,1,0,0,5e-09,5e-09,0
simple,7,98,98,2,0,0,5e-09,5e-09,0
simple,7,98,98,3,0,0,5e-09,5e-09,0
simple,7,98,98,4,0,0,5e-09,5e-09,0
simple,7,99,99,1,0,0,5e-09,5e-09,0
simple,7,99,99,2,0,0,5e-09,5e-09,0
simple,7,99,99,3,0,0,5e-09,5e-09,0
simple,7,99,99,4,0,0,5e-09,5e-09,0
simple,7,100,100,1,0,0,5e-09,5e-09,0
simple,7,100,100,2,0,0,5e-09,5e-09,0
simple,7,100,100,3,0,0,5e-09,5e-09,0
simple,7,100,100,4,0,0,5e-09,5e-09,0
simple,7,101,101,1,0,0,5e-09,5e-09,0
simple,7,101,101,2,0,0,5e-09,5e-09,0
simple,7,101,101,3,0,0,5e-09,5e-09,0
simple,7,101,101,4,0,0,5e-09,5e-09,0
simple,7,102,102,1,0,0,5e-09,5e-09,0
simple,7,102,102,2,0,0,5e-09,5e-09,0
simple,7,102,102,3,0,0,5e-09,5e-09,0
simple,7,102,102,4,0,0,5e-09,5e-09,0
simple,7,103,103,1,0,0,5e-09,5e-09,0
simple,7,103,103,2,0,0,5e-09,5e-09,0
simple,7,103,103,3,0,0,5e-09,5e-09,0
simple,7,103,103,4,0,0,5e-09,5e-09,0
simple,7,104,104,1,0,0,5e-09,5e-09,0
simple,7,104,104,2,0,0,5e-09,5e-09,0
simple,7,104,104,3,0,0,5e-09,5e-09,0
simple,7,104,104,4,0,0,5e-09,5e-09,0
simple,7,105,105,1,0,0,5e-09,5e-09,0
simple,7,105,105,2,0,0,5e-09,5e-09,0
simple,7,105,105,3,0,0,5e-09,5e-09,0
simple,7,105,105,4,0,0,5e-09,5e-09,0
simple,7,106,106,1,0,0,5e-09,5e-09,0
simple,7,106,106,2,0,0,5e-09,5e-09,0
simple,7,106,106,3,0,0,5e-09,5e-09,0
simple,7,106,106,4,0,0,5e-09,5e-09,0
simple,7,107,107,1,0,0,5e-09,5e-09,0
simple,7,107,107,2,0,0,5e-09,5e-09,0
simple,7,107,107,3,0,0,5e-09,5e-09,0
simple,7,107,107,4,0,0,5e-09,5e-09,0
simple,7,108,108,1,0,0,5e-09,5e-09,0
simple,7,108,108,2,0,0,5e-09,5e-09,0
simple,7,108,108,3,0,0,5e-09,5e-09,0
simple,7,108,108,4,0,0,5e-09,5e-09,0
simple,7,109,109,1,0,0,5e-09,5e-09,0
simple,7,109,109,2,0,0,5e-09,5e-09,0
simple,7,109,109,3,0,0,5e-09,5e-09,0
simple,7,109,109,4,0,0,5e-09,5e-09,0
simple,7,110,110,1,0,0,5e-09,5e-09,0
simple,7,110,110,2,0,0,5e-09,5e-09,0
simple,7,110,110,3,0,0,5e-09,5e-09,0
simple,7,110,110,4,0,0,5e-09,5e-09,0
simple,7,111,111,1,0,0,5e-09,5e-09,0
simple,7,111,111,2,0,0,5e-09,5e-09,0
simple,7,111,111,3,0,0,5e-09,5e-09,0
simple,7,111,111,4,0,0,5e-09,5e-09,0
simple,7,112,112,1,0,0,5e-09,5e-09,0
simple,7,112,112,2,0,0,5e-09,5e-09,0
simple,7,112,112,3,0,0,5e-09,5e-09,0
simple,7,112,112,4,0,0,5e-09,5e-09,0
simple,7,113,113,1,0,0,5e-09,5e-09,0
simple,7,113,113,2,0,0,5e-09,5e-09,0
simple,7,113,113,3,0,0,5e-09,5e-09,0
simple,7,113,113,4,0,0,5e-09,5e-09,0
simple,7,114,114,1,0,0,5e-09,5e-09,0
simple,7,114,114,2,0,0,5e-09,5e-09,0
simple,7,114,114,3,0,0,5e-09,5e-09,0
simple,7,114,114,4,0,0,5e-09,5e-09,0
simple,7,115,115,1,0,0,5e-09,5e-09,0
simple,7,115,115,2,0,0,5e-09,5e-09,0
simple,7,115,115,3,0,0,5e-09,5e-09,0
simple,7,115,115,4,0,0,5e-09,5e-09,0
simple,7,116,116,1,0,0,5e-09,5e-09,0
simple,7,116,116,2,0,0,5e-09,5e-09,0
simple,7,116,116,3,0,0,5e-09,5e-09,0
simple,7,116,116,4,0,0,5e-09,5e-09,0
simple,7,117,117,1,0,0,5e-09,5e-09,0
simple,7,117,117,2,0,0,5e-09,5e-09,0
simple,7,117,117,3,0,0,5e-09,5e-09,0
simple,7,117,117,4,0,0,5e-09,5e-09,0
simple,7,118,118,1,0,0,5e-09,5e-09,0
simple,7,118,118,2,0,0,5e-09,5e-09,0
simple,7,118,118,3,0,0,5e-09,5e-09,0
simple,7,118,118,4,0,0,5e-09,5e-09,0
simple,7,119,119,1,0,0,5e-09,5e-09,0
simple,7,119,119,2,0,0,5e-09,5e-09,0
simple,7,119,119,3,0,0,5e-09,5e-09,0
simple,7,119,119,4,0,0,5e-09,5e-09,0
simple,7,120,120,1,0,0,5e-09,5e-09,0
simple,7,120,120,2,0,0,5e-09,5e-09,0
simple,7,120,120,3,0,0,5e-09,5e-09,0
simple,7,120,120,4,0,0,5e-09,5e-09,0
simple,7,121,121,1,0,0,5e-09,5e-09,0
simple,7,121,121,2,0,0,5e-09,5e-09,0
simple,7,121,121,3,0,0,5e-09,5e-09,0
simple,7,121,121,4,0,0,5e-09,5e-09,0
simple,7,122,122,1,0,0,5e-09,5e-09,0
simple,7,122,122,2,0,0,5e-09,5e-09,0
simple,7,122,122,3,0,0,5e-09,5e-09,0
simple,7,122,122,4,0,0,5e-09,5e-09,0
simple,7,123,123,1,0,0,5e-09,5e-09,0
simple,7,123,123,2,0,0,5e-09,5e-09,0
simple,7,123,123,3,0,0,5e-09,5e-09,0
simple,7,123,123,4,0,0,5e-09,5e-09,0
simple,7,124,124,1,0,0,5e-09,5e-09,0
simple,7,124,124,2,0,0,5e-09,5e-09,0
simple,7,124,124,3,0,0,5e-09,5e-09,0
simple,7,124,124,4,0,0,5e-09,5e-09,0
simple,7,125,125,1,0,0,5e-09,5e-09,0
simple,7,125,125,2,0,0,5e-09,5e-09,0
simple,7,125,125,3,0,0,5e-09,5e-09,0
simple,7,125,125,4,0,0,5e-09,5e-09,0
simple,7,126,126,1,0,0,5e-09,5e-09,0
simple,7,126,126,2,0,0,5e-09,5e-09,0
simple,7,126,126,3,0,0,5e-09,5e-09,0
simple,7,126,126,4,0,0,5e-09,5e-09,0
simple,7,127,127,1,0,0,5e-09,5e-09,0
