method,bus,global_hour,observed_records,mean_voltage_pu,q01_voltage_pu,q05_voltage_pu,q50_voltage_pu,minimum_voltage_pu,lower_bound_hit_frequency,lower_bound_hit_count,unit_note
chi2_eta003,4,38,2476,0.979540754029781,0.976164986168523,0.976164986168523,0.980136468763561,0.976164986168523,0,0,p.u.
chi2_eta003,4,39,2476,0.980254853757851,0.977028777994848,0.977028777994848,0.980996763607819,0.977028777994848,0,0,p.u.
chi2_eta003,4,40,2476,0.979880385765933,0.976795231933217,0.976795231933217,0.980764162429673,0.976795231933217,0,0,p.u.
chi2_eta003,4,41,427,0.97910244647056,0.976750412623131,0.976750412623131,0.979510225648579,0.976750412623131,0,0,p.u.
chi2_eta003,4,42,427,0.980199099286836,0.977181630437942,0.977181630437942,0.9811489978817,0.977181630437942,0,0,p.u.
chi2_eta003,4,43,427,0.979455276186345,0.976138157865124,0.976138157865124,0.980109749170585,0.976138157865124,0,0,p.u.
chi2_eta003,4,44,427,0.976829263761286,0.973675036917557,0.973675036917557,0.977254170770986,0.973675036917557,0,0,p.u.
chi2_eta003,4,45,427,0.97619562946084,0.97327389526226,0.97327389526226,0.976682710273274,0.97327389526226,0,0,p.u.
chi2_eta003,4,46,427,0.976531198702592,0.973675036917557,0.973675036917557,0.977254170770986,0.973675036917557,0,0,p.u.
chi2_eta003,4,47,427,0.974633364855685,0.973871093421932,0.973871093421932,0.973871093421932,0.973871093421932,0,0,p.u.
chi2_eta003,4,48,427,0.975584595221453,0.975333823580352,0.975333823580352,0.975333823580352,0.975333823580352,0,0,p.u.
chi2_eta003,5,1,10000,0.971166660409118,0.971166660409153,0.971166660409153,0.971166660409153,0.971166660409153,0,0,p.u.
chi2_eta003,5,2,10000,0.972558090558777,0.972558090558768,0.972558090558768,0.972558090558768,0.972558090558768,0,0,p.u.
chi2_eta003,5,3,10000,0.973013191436657,0.973013191436681,0.973013191436681,0.973013191436681,0.973013191436681,0,0,p.u.
chi2_eta003,5,4,10000,0.973476342693222,0.973476342693277,0.973476342693277,0.973476342693277,0.973476342693277,0,0,p.u.
chi2_eta003,5,5,10000,0.973757432001282,0.973757432001302,0.973757432001302,0.973757432001302,0.973757432001302,0,0,p.u.
chi2_eta003,5,6,10000,0.974401984773668,0.974401984773659,0.974401984773659,0.974401984773659,0.974401984773659,0,0,p.u.
chi2_eta003,5,7,10000,0.974864476224555,0.974864476224531,0.974864476224531,0.974864476224531,0.974864476224531,0,0,p.u.
chi2_eta003,5,8,10000,0.973476342693222,0.973476342693277,0.973476342693277,0.973476342693277,0.973476342693277,0,0,p.u.
chi2_eta003,5,9,8914,0.970699364251697,0.970699364251717,0.970699364251717,0.970699364251717,0.970699364251717,0,0,p.u.
chi2_eta003,5,10,8914,0.970865841217748,0.970865841217699,0.970865841217699,0.970865841217699,0.970865841217699,0,0,p.u.
chi2_eta003,5,11,8914,0.969868468522246,0.969868468522266,0.969868468522266,0.969868468522266,0.969868468522266,0,0,p.u.
chi2_eta003,5,12,8914,0.969407122064404,0.96940712206437,0.96940712206437,0.96940712206437,0.96940712206437,0,0,p.u.
chi2_eta003,5,13,8914,0.969311188783531,0.969209347768449,0.969209347768449,0.969209347768449,0.969209347768449,0,0,p.u.
chi2_eta003,5,14,8914,0.969644698343557,0.969050599324973,0.969050599324973,0.969050599324973,0.969050599324973,0,0,p.u.
chi2_eta003,5,15,8914,0.970187309109696,0.970187309109731,0.970187309109731,0.970187309109731,0.970187309109731,0,0,p.u.
chi2_eta003,5,16,8914,0.969873908237289,0.969873908237253,0.969873908237253,0.969873908237253,0.969873908237253,0,0,p.u.
chi2_eta003,5,17,7936,0.970011576464257,0.969806171428257,0.969806171428257,0.969806171428257,0.969806171428257,0,0,p.u.
chi2_eta003,5,18,7936,0.971647632123188,0.970354930412144,0.970354930412144,0.971626052330928,0.970354930412144,0,0,p.u.
chi2_eta003,5,19,7936,0.972701052595961,0.968971916195318,0.968971916195318,0.974120682499259,0.968971916195318,0,0,p.u.
chi2_eta003,5,20,7936,0.969548825848544,0.965784714025688,0.965784714025689,0.970382727662072,0.965784714025688,0,0,p.u.
chi2_eta003,5,21,7936,0.968688037663202,0.96527783591913,0.96527783591913,0.969635896858665,0.96527783591913,0,0,p.u.
