initial_state_id,T_label,eta,path_id,loss,nominal_probability,worst_probability,probability_shift,model,absolute_shift
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,166,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,167,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,168,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,169,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,170,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,171,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,172,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,173,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,174,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,175,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,176,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,177,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,178,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,179,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,180,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
