initial_state_id,parent_id,child_id,parent_stage,child_stage,parent_native_state,child_native_state,parent_support_count,child_support_count,nominal_conditional_probability,theoretical_transition_probability
7,s7:n1:a=2|loc=9|lfw=0,s7:n2:a=2|loc=9|lfw=0>a=2|loc=6|lfw=0,1,2,a=2|loc=9|lfw=0,a=2|loc=6|lfw=0,383,6,0.015665796344647518,0.009435609756097552
7,s7:n2:a=2|loc=9|lfw=0>a=2|loc=6|lfw=0,s7:n3:a=2|loc=9|lfw=0>a=2|loc=6|lfw=0>a=2|loc=6|lfw=0,2,3,a=2|loc=6|lfw=0,a=2|loc=6|lfw=0,6,1,0.16666666666666666,0.0348174
7,s7:n1:a=1|loc=6|lfw=1,s7:n2:a=1|loc=6|lfw=1>a=1|loc=5|lfw=1,1,2,a=1|loc=6|lfw=1,a=1|loc=5|lfw=1,329,11,0.03343465045592705,0.039599999999999996
7,s7:n2:a=1|loc=6|lfw=1>a=1|loc=5|lfw=1,s7:n3:a=1|loc=6|lfw=1>a=1|loc=5|lfw=1>a=1|loc=6|lfw=2,2,3,a=1|loc=5|lfw=1,a=1|loc=6|lfw=2,11,5,0.45454545454545453,0.21000000000000002
7,s7:n1:a=2|loc=7|lfw=1,s7:n2:a=2|loc=7|lfw=1>a=2|loc=7|lfw=2,1,2,a=2|loc=7|lfw=1,a=2|loc=7|lfw=2,1747,213,0.12192329708070979,0.113535
7,s7:n2:a=2|loc=7|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=2|loc=7|lfw=1>a=2|loc=7|lfw=2>a=1|loc=8|lfw=3,2,3,a=2|loc=7|lfw=2,a=1|loc=8|lfw=3,213,11,0.051643192488262914,0.029820000000000003
7,s7:n1:a=2|loc=8|lfw=0,s7:n2:a=2|loc=8|lfw=0>a=2|loc=5|lfw=1,1,2,a=2|loc=8|lfw=0,a=2|loc=5|lfw=1,791,19,0.02402022756005057,0.02655789473684208
7,s7:n2:a=2|loc=8|lfw=0>a=2|loc=5|lfw=1,s7:n3:a=2|loc=8|lfw=0>a=2|loc=5|lfw=1>a=2|loc=3|lfw=2,2,3,a=2|loc=5|lfw=1,a=2|loc=3|lfw=2,19,2,0.10526315789473684,0.063075
7,s7:n1:a=2|loc=8|lfw=1,s7:n2:a=2|loc=8|lfw=1>a=2|loc=9|lfw=1,1,2,a=2|loc=8|lfw=1,a=2|loc=9|lfw=1,2630,118,0.044866920152091254,0.044617263157894715
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=9|lfw=1,s7:n3:a=2|loc=8|lfw=1>a=2|loc=9|lfw=1>a=2|loc=8|lfw=2,2,3,a=2|loc=9|lfw=1,a=2|loc=8|lfw=2,118,22,0.1864406779661017,0.1692256097560974
7,s7:root,s7:n1:a=2|loc=4|lfw=1,0,1,a=2|loc=7|lfw=0,a=2|loc=4|lfw=1,15000,373,0.024866666666666665,0.025229999999999995
7,s7:n1:a=2|loc=4|lfw=1,s7:n2:a=2|loc=4|lfw=1>a=2|loc=3|lfw=2,1,2,a=2|loc=4|lfw=1,a=2|loc=3|lfw=2,373,51,0.13672922252010725,0.138765
7,s7:n2:a=2|loc=4|lfw=1>a=2|loc=3|lfw=2,s7:n3:a=2|loc=4|lfw=1>a=2|loc=3|lfw=2>a=2|loc=2|lfw=3,2,3,a=2|loc=3|lfw=2,a=2|loc=2|lfw=3,51,8,0.1568627450980392,0.138765
