initial_state_id,feature_name,sample_count,mean,std,q50,q90,q95,q99,q995,maximum,CVaR95,CVaR99,CVaR995
13,loss_T100,15000,1020.40850100324,12204.47544605,0,142.461798627415,869.198989968525,20859.5619297385,54965.1302390462,532793.084526042,19946.3651084403,89293.6560058391,141371.097838675
13,audit_unique_D_count,1,733,0,733,733,733,733,733,733,733,733,733
13,audit_unique_A_count,1,168,0,168,168,168,168,168,168,168,168,168
13,audit_unique_Ctilde_count,1,1199,0,1199,1199,1199,1199,1199,1199,1199,1199,1199
13,audit_unique_joint_D_A_Ctilde_count,1,1400,0,1400,1400,1400,1400,1400,1400,1400,1400,1400
13,audit_zero_demand_share,1,0.855933333333333,0,0.855933333333333,0.855933333333333,0.855933333333333,0.855933333333333,0.855933333333333,0.855933333333333,0.855933333333333,0.855933333333333,0.855933333333333
13,audit_fully_unreachable_demand_share,1,0,0,0,0,0,0,0,0,0,0,0
13,audit_full_capacity_positive_loss_share,1,0.1416,0,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416
13,audit_tail95_threshold_loss_T50,1,897.427864892289,0,897.427864892289,897.427864892289,897.427864892289,897.427864892289,897.427864892289,897.427864892289,897.427864892289,897.427864892289,897.427864892289
13,audit_tail99_threshold_loss_T50,1,62899.8779605527,0,62899.8779605527,62899.8779605527,62899.8779605527,62899.8779605527,62899.8779605527,62899.8779605527,62899.8779605527,62899.8779605527,62899.8779605527
13,audit_tail995_threshold_loss_T50,1,129641.69276688,0,129641.69276688,129641.69276688,129641.69276688,129641.69276688,129641.69276688,129641.69276688,129641.69276688,129641.69276688,129641.69276688
13,audit_tail95_boundary_tie_count,1,1,0,1,1,1,1,1,1,1,1,1
13,audit_tail99_boundary_tie_count,1,1,0,1,1,1,1,1,1,1,1,1
13,audit_tail995_boundary_tie_count,1,1,0,1,1,1,1,1,1,1,1,1
14,total_D,15000,12.8517033521534,53.2064380760373,0,3.27305457818509,87.2814554182691,332.215039685787,380.513051305127,607.969887897881,214.321884354071,386.002590813981,415.426997245179
14,unreachable_D,15000,0.280118920983007,4.53874985723154,0,0,0,0,11.4556910236478,243.842566074789,0.280118920983007,0.280118920983007,48.6272403464123
14,unreachable_D_ratio,15000,0.000941034800862776,0.01412496792007,0,0,0,0,0.0568933545810103,0.618257261410788,0.000941034800862776,0.000941034800862776,0.162336954912458
14,reachable_D_1,15000,12.157779414305,50.0167114025045,0,3.27305457818509,86.2040749529496,299.484493903936,355.126421733082,607.969887897881,203.643637090982,364.772178602568,389.702606624299
14,reachable_D_2,15000,11.61190664521,48.5985459885679,0,3.27305457818509,76.9167825873496,287.240542236042,355.126421733082,607.969887897881,196.262332927397,360.948822154943,387.8030509182
14,reachable_D_3,15000,10.6947240178563,46.1317911117987,0,3.27305457818509,67.0976188527944,253.661729809345,355.126421733082,607.969887897881,181.732766578093,350.796669070881,389.633198353095
14,reachable_D_4,15000,11.7047522934111,48.7814770070717,0,3.27305457818509,77.4622916837138,283.190137195539,355.126421733082,607.969887897881,196.948759153848,362.199856349271,390.536939529048
14,demand_weighted_C_1,15000,2.51330071969546,7.74224391013632,0,1.70492142266336,26.5821205916937,29.9418932908493,30.3192556482442,48.045959338143,29.3192433720619,31.1900250765253,32.3779857702718
14,demand_weighted_C_2,15000,1.47668165087559,5.17931884621025,0,0,15.1450468631429,24.033908066509,27.3476388504954,57.6368392741012,21.9528234699746,29.0817297259726,33.1608179395632
14,demand_weighted_C_3,15000,1.53838940198486,5.58967255153018,0,0,17.520476318507,27.5418012918525,28.9812080677773,63.4161501146781,23.9821288705472,30.4096114564073,32.4245498257478
14,demand_weighted_C_4,15000,1.98278568042294,6.53007411997862,0,1.53168208743959,21.1123720277744,28.5369766135345,30.4244861190865,58.4298062817915,26.5155029242142,32.5697813294124,35.4720404339429
14,loss_T0,15000,25703.4067043068,106412.876152075,0,6546.10915637018,174562.910836538,664430.079371574,761026.102610254,1215939.77579576,428643.768708141,772005.181627962,830853.994490358
