distribution_scope,state_i,state_j,repeat_count,sample_count_per_state,median_energy_distance,minimum_energy_distance,maximum_energy_distance,IQR_energy_distance,seed_rule
bulk,30,34,10,1000,0.803443687323116,0.686323554382803,0.879920449794279,0.0882764219902998,20260300 + repeat*100 + state
tail95,30,34,10,750,2.0211087024909,2.0211087024909,2.0211087024909,0,20260300 + repeat*100 + state
bulk,30,35,10,1000,1.45171915008517,1.34925945888473,1.61439195541996,0.0894194595368778,20260300 + repeat*100 + state
tail95,30,35,10,750,3.69670261504801,3.69670261504801,3.69670261504801,0,20260300 + repeat*100 + state
bulk,31,1,10,1000,8.79194307007318,8.66301894908258,8.94275789810601,0.0797486591774632,20260300 + repeat*100 + state
tail95,31,1,10,750,20.4733223584552,20.4733223584552,20.4733223584552,0,20260300 + repeat*100 + state
bulk,31,2,10,1000,8.77525631503485,8.59334653911711,8.96205468794734,0.11225967984964,20260300 + repeat*100 + state
tail95,31,2,10,750,20.4603707405815,20.4603707405815,20.4603707405815,0,20260300 + repeat*100 + state
bulk,31,3,10,1000,8.7603144338194,8.6702843300785,9.01238330113151,0.0714752137733825,20260300 + repeat*100 + state
tail95,31,3,10,750,20.6375585305626,20.6375585305626,20.6375585305626,0,20260300 + repeat*100 + state
bulk,31,4,10,1000,8.80821144848637,8.60502724658904,9.02100184147669,0.105906351687311,20260300 + repeat*100 + state
tail95,31,4,10,750,20.589629012334,20.589629012334,20.589629012334,0,20260300 + repeat*100 + state
bulk,31,5,10,1000,8.87528302482036,8.64991147738322,8.96729653109674,0.165118299756575,20260300 + repeat*100 + state
tail95,31,5,10,750,21.1344768038844,21.1344768038844,21.1344768038844,0,20260300 + repeat*100 + state
bulk,31,6,10,1000,8.89236656013495,8.70277195165646,9.102051091952,0.0672521208349863,20260300 + repeat*100 + state
tail95,31,6,10,750,21.4679212771646,21.4679212771646,21.4679212771646,0,20260300 + repeat*100 + state
bulk,31,7,10,1000,8.90460448900987,8.6751671186842,9.14275801073903,0.0853865936770966,20260300 + repeat*100 + state
tail95,31,7,10,750,21.7603081676719,21.7603081676719,21.7603081676719,0,20260300 + repeat*100 + state
bulk,31,8,10,1000,6.4263223479348,6.23123952465687,6.7999253181093,0.245274307584165,20260300 + repeat*100 + state
tail95,31,8,10,750,17.8301283831545,17.8301283831545,17.8301283831545,0,20260300 + repeat*100 + state
bulk,31,9,10,1000,6.4178889166613,6.20775143908705,6.70132122534934,0.131184067919898,20260300 + repeat*100 + state
tail95,31,9,10,750,17.3340133794816,17.3340133794816,17.3340133794816,0,20260300 + repeat*100 + state
bulk,31,10,10,1000,6.58062197462705,6.32512258845834,6.75979478602494,0.191169414968926,20260300 + repeat*100 + state
tail95,31,10,10,750,17.5045257647066,17.5045257647066,17.5045257647066,0,20260300 + repeat*100 + state
bulk,31,11,10,1000,6.6983689744757,6.4858316421001,6.96087664349084,0.319219013098559,20260300 + repeat*100 + state
tail95,31,11,10,750,17.9804529057258,17.9804529057258,17.9804529057258,0,20260300 + repeat*100 + state
bulk,31,12,10,1000,7.17840049107371,6.83234394849891,7.39082748378537,0.294360246374495,20260300 + repeat*100 + state
tail95,31,12,10,750,18.4430798711417,18.4430798711417,18.4430798711417,0,20260300 + repeat*100 + state
bulk,31,13,10,1000,7.57054265734314,7.4047584377105,7.76917235053129,0.11564709722759,20260300 + repeat*100 + state
tail95,31,13,10,750,19.2616434421494,19.2616434421494,19.2616434421494,0,20260300 + repeat*100 + state
bulk,31,14,10,1000,7.95559769297499,7.76869991419234,8.17550918434903,0.191127979802891,20260300 + repeat*100 + state
tail95,31,14,10,750,19.7510946229282,19.7510946229282,19.7510946229282,0,20260300 + repeat*100 + state
bulk,31,15,10,1000,2.63555216547804,2.46319396099931,2.76939523308222,0.156826985543278,20260300 + repeat*100 + state
tail95,31,15,10,750,12.0794490079359,12.0794490079359,12.0794490079359,0,20260300 + repeat*100 + state
bulk,31,16,10,1000,2.53366742092133,2.33393041903904,2.67055648528623,0.182485052552699,20260300 + repeat*100 + state
tail95,31,16,10,750,11.6274547547238,11.6274547547238,11.6274547547238,0,20260300 + repeat*100 + state
bulk,31,17,10,1000,2.60836050267547,2.51696794285877,2.81123434277553,0.165932360012376,20260300 + repeat*100 + state
tail95,31,17,10,750,11.1041912622157,11.1041912622157,11.1041912622157,0,20260300 + repeat*100 + state
bulk,31,18,10,1000,3.06388264396772,2.84514432197102,3.17873863997017,0.101535907478377,20260300 + repeat*100 + state
tail95,31,18,10,750,10.8549980383662,10.8549980383662,10.8549980383662,0,20260300 + repeat*100 + state
bulk,31,19,10,1000,3.61594968482038,3.30378051270383,3.86557848416099,0.209366816640554,20260300 + repeat*100 + state
tail95,31,19,10,750,11.3593287672946,11.3593287672946,11.3593287672946,0,20260300 + repeat*100 + state
bulk,31,20,10,1000,4.47450693202989,4.25259818073585,4.60504370886645,0.118617248535359,20260300 + repeat*100 + state
tail95,31,20,10,750,12.8155306081324,12.8155306081324,12.8155306081324,0,20260300 + repeat*100 + state
bulk,31,21,10,1000,5.4305780282269,5.28883132645579,5.5908176285896,0.123946502050551,20260300 + repeat*100 + state
tail95,31,21,10,750,14.5929256622334,14.5929256622334,14.5929256622334,0,20260300 + repeat*100 + state
bulk,31,22,10,1000,0.420809591098728,0.343726943145898,0.484471473252917,0.0607899964655056,20260300 + repeat*100 + state
tail95,31,22,10,750,3.83309718772471,3.83309718772471,3.83309718772471,0,20260300 + repeat*100 + state
bulk,31,23,10,1000,0.360746463993776,0.223723550272196,0.49216558259907,0.0633767527669453,20260300 + repeat*100 + state
tail95,31,23,10,750,4.17189880948475,4.17189880948475,4.17189880948475,0,20260300 + repeat*100 + state
bulk,31,24,10,1000,0.469463073690254,0.332262224030491,0.524583456681012,0.0670192144106507,20260300 + repeat*100 + state
tail95,31,24,10,750,4.0143742958407,4.0143742958407,4.0143742958407,0,20260300 + repeat*100 + state
bulk,31,25,10,1000,0.656236053566221,0.575930267716047,0.742103399033118,0.116577297600542,20260300 + repeat*100 + state
tail95,31,25,10,750,4.97831538196071,4.97831538196071,4.97831538196071,0,20260300 + repeat*100 + state
bulk,31,26,10,1000,1.06598732114898,0.97756828851077,1.22538452502852,0.144374451551932,20260300 + repeat*100 + state
tail95,31,26,10,750,5.85191315696687,5.85191315696687,5.85191315696687,0,20260300 + repeat*100 + state
bulk,31,27,10,1000,1.81276848904904,1.59834468536232,2.02163905600848,0.0932330715376133,20260300 + repeat*100 + state
tail95,31,27,10,750,6.99723364934543,6.99723364934543,6.99723364934543,0,20260300 + repeat*100 + state
bulk,31,28,10,1000,2.792399191189,2.71926294446651,2.96854974862945,0.0741466111023716,20260300 + repeat*100 + state
tail95,31,28,10,750,9.34696886011469,9.34696886011469,9.34696886011469,0,20260300 + repeat*100 + state
bulk,31,29,10,1000,0.020420327916324,0.010312391666071,0.03591003678864,0.0148961145859892,20260300 + repeat*100 + state
tail95,31,29,10,750,0.0114957142194436,0.0114957142194436,0.0114957142194436,0,20260300 + repeat*100 + state
bulk,31,30,10,1000,0.0118816277791303,0.00841076611129399,0.0187708465801437,0.00298759299507734,20260300 + repeat*100 + state
tail95,31,30,10,750,0.0230652693798623,0.0230652693798623,0.0230652693798623,0,20260300 + repeat*100 + state
bulk,31,31,10,1000,0,0,0,0,20260300 + repeat*100 + state
tail95,31,31,10,750,0,0,0,0,20260300 + repeat*100 + state
bulk,31,32,10,1000,0.0541734546385202,0.0215247960335603,0.0904316781428349,0.0269705299017577,20260300 + repeat*100 + state
tail95,31,32,10,750,0.0804609702137205,0.0804609702137205,0.0804609702137205,0,20260300 + repeat*100 + state
bulk,31,33,10,1000,0.224178219820737,0.176550934450963,0.345214990030001,0.0405112967854024,20260300 + repeat*100 + state
tail95,31,33,10,750,0.572283079309765,0.572283079309765,0.572283079309765,0,20260300 + repeat*100 + state
bulk,31,34,10,1000,0.760931608632317,0.649257158511537,0.885714450222394,0.0780422905582272,20260300 + repeat*100 + state
tail95,31,34,10,750,1.71199622146404,1.71199622146404,1.71199622146404,0,20260300 + repeat*100 + state
bulk,31,35,10,1000,1.37338086850024,1.28400751019296,1.57672822906062,0.114392768000879,20260300 + repeat*100 + state
tail95,31,35,10,750,3.28586052407832,3.28586052407832,3.28586052407832,0,20260300 + repeat*100 + state
bulk,32,1,10,1000,7.97169013240519,7.73121086630557,8.23301555307535,0.204383523967828,20260300 + repeat*100 + state
tail95,32,1,10,750,19.0403544742161,19.0403544742161,19.0403544742161,0,20260300 + repeat*100 + state
bulk,32,2,10,1000,7.95964464459563,7.68351318500498,8.1426859628224,0.161472296879952,20260300 + repeat*100 + state
tail95,32,2,10,750,19.0262586202959,19.0262586202959,19.0262586202959,0,20260300 + repeat*100 + state
bulk,32,3,10,1000,7.96830180527533,7.73277866745479,8.22104055462586,0.127946428344153,20260300 + repeat*100 + state
tail95,32,3,10,750,19.2078940882634,19.2078940882634,19.2078940882634,0,20260300 + repeat*100 + state
bulk,32,4,10,1000,7.94126494266964,7.74830885926204,8.20230081984404,0.226797267174818,20260300 + repeat*100 + state
tail95,32,4,10,750,19.15736199989,19.15736199989,19.15736199989,0,20260300 + repeat*100 + state
bulk,32,5,10,1000,8.00129988620258,7.76696004835797,8.24004395159826,0.299301205986882,20260300 + repeat*100 + state
tail95,32,5,10,750,19.7080867586066,19.7080867586066,19.7080867586066,0,20260300 + repeat*100 + state
bulk,32,6,10,1000,8.05989971903313,7.80054451064295,8.3179294261208,0.207260874963152,20260300 + repeat*100 + state
tail95,32,6,10,750,20.0430056949993,20.0430056949993,20.0430056949993,0,20260300 + repeat*100 + state
