path_id,base_frozen_tail_group,base_terminal_site_gap_kg,selection_rank,selection_rule
1,NORMAL95,0.0,1,retrospective Base terminal_site_gap rank; ties path_id
143,NORMAL95,0.0,135,retrospective Base terminal_site_gap rank; ties path_id
144,NORMAL95,0.0,136,retrospective Base terminal_site_gap rank; ties path_id
145,NORMAL95,0.0,137,retrospective Base terminal_site_gap rank; ties path_id
146,NORMAL95,0.0,138,retrospective Base terminal_site_gap rank; ties path_id
147,NORMAL95,0.0,139,retrospective Base terminal_site_gap rank; ties path_id
148,NORMAL95,0.0,140,retrospective Base terminal_site_gap rank; ties path_id
149,NORMAL95,0.0,141,retrospective Base terminal_site_gap rank; ties path_id
150,NORMAL95,0.0,142,retrospective Base terminal_site_gap rank; ties path_id
151,NORMAL95,0.0,143,retrospective Base terminal_site_gap rank; ties path_id
153,NORMAL95,0.0,144,retrospective Base terminal_site_gap rank; ties path_id
154,NORMAL95,0.0,145,retrospective Base terminal_site_gap rank; ties path_id
155,NORMAL95,0.0,146,retrospective Base terminal_site_gap rank; ties path_id
157,NORMAL95,0.0,147,retrospective Base terminal_site_gap rank; ties path_id
158,NORMAL95,0.0,148,retrospective Base terminal_site_gap rank; ties path_id
159,NORMAL95,0.0,149,retrospective Base terminal_site_gap rank; ties path_id
160,NORMAL95,0.0,150,retrospective Base terminal_site_gap rank; ties path_id
161,NORMAL95,0.0,151,retrospective Base terminal_site_gap rank; ties path_id
162,NORMAL95,0.0,152,retrospective Base terminal_site_gap rank; ties path_id
163,NORMAL95,0.0,153,retrospective Base terminal_site_gap rank; ties path_id
164,NORMAL95,0.0,154,retrospective Base terminal_site_gap rank; ties path_id
165,NORMAL95,0.0,155,retrospective Base terminal_site_gap rank; ties path_id
166,NORMAL95,0.0,156,retrospective Base terminal_site_gap rank; ties path_id
167,NORMAL95,0.0,157,retrospective Base terminal_site_gap rank; ties path_id
168,NORMAL95,0.0,158,retrospective Base terminal_site_gap rank; ties path_id
169,NORMAL95,0.0,159,retrospective Base terminal_site_gap rank; ties path_id
170,NORMAL95,0.0,160,retrospective Base terminal_site_gap rank; ties path_id
171,NORMAL95,0.0,161,retrospective Base terminal_site_gap rank; ties path_id
172,NORMAL95,0.0,162,retrospective Base terminal_site_gap rank; ties path_id
173,NORMAL95,0.0,163,retrospective Base terminal_site_gap rank; ties path_id
174,NORMAL95,0.0,164,retrospective Base terminal_site_gap rank; ties path_id
175,NORMAL95,0.0,165,retrospective Base terminal_site_gap rank; ties path_id
176,NORMAL95,0.0,166,retrospective Base terminal_site_gap rank; ties path_id
177,NORMAL95,0.0,167,retrospective Base terminal_site_gap rank; ties path_id
178,NORMAL95,0.0,168,retrospective Base terminal_site_gap rank; ties path_id
179,NORMAL95,0.0,169,retrospective Base terminal_site_gap rank; ties path_id
180,NORMAL95,0.0,170,retrospective Base terminal_site_gap rank; ties path_id
181,NORMAL95,0.0,171,retrospective Base terminal_site_gap rank; ties path_id
183,NORMAL95,0.0,172,retrospective Base terminal_site_gap rank; ties path_id
184,NORMAL95,0.0,173,retrospective Base terminal_site_gap rank; ties path_id
185,NORMAL95,0.0,174,retrospective Base terminal_site_gap rank; ties path_id
186,NORMAL95,0.0,175,retrospective Base terminal_site_gap rank; ties path_id
187,NORMAL95,0.0,176,retrospective Base terminal_site_gap rank; ties path_id
188,NORMAL95,0.0,177,retrospective Base terminal_site_gap rank; ties path_id
189,NORMAL95,0.0,178,retrospective Base terminal_site_gap rank; ties path_id
190,NORMAL95,0.0,179,retrospective Base terminal_site_gap rank; ties path_id
191,NORMAL95,0.0,180,retrospective Base terminal_site_gap rank; ties path_id
192,NORMAL95,0.0,181,retrospective Base terminal_site_gap rank; ties path_id
193,NORMAL95,0.0,182,retrospective Base terminal_site_gap rank; ties path_id
194,NORMAL95,0.0,183,retrospective Base terminal_site_gap rank; ties path_id
195,NORMAL95,0.0,184,retrospective Base terminal_site_gap rank; ties path_id
196,NORMAL95,0.0,185,retrospective Base terminal_site_gap rank; ties path_id
197,NORMAL95,0.0,186,retrospective Base terminal_site_gap rank; ties path_id
