a0,loc0,lfw0,seed_id,base_seed,mode,asset,stage,threshold_mps,observation_count,above_count,above_share,crossed_up_vs_M0_count,crossed_up_vs_M0_share,crossed_down_vs_M0_count,crossed_down_vs_M0_share,local_wind_max_mps
4,4,0,2,20260724,M0_FIXED,grid_line,W3,25,64000,23824,0.37225,0,0,0,0,55.4697563798546
4,4,0,2,20260724,M0_FIXED,grid_line,W3,50,64000,72,0.001125,0,0,0,0,55.4697563798546
4,4,0,2,20260724,M0_FIXED,road_edge,W3,30,82000,15935,0.194329268292683,0,0,0,0,55.4697563798546
4,4,0,2,20260724,M0_FIXED,road_edge,W3,60,82000,0,0,0,0,0,0,55.4697563798546
4,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W1,25,64000,19880,0.310625,3146,0.04915625,3403,0.053171875,47.2308242243598
4,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W1,50,64000,0,0,0,0,0,0,47.2308242243598
4,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W1,30,82000,4194,0.0511463414634146,600,0.00731707317073171,385,0.00469512195121951,47.2308242243598
4,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W1,60,82000,0,0,0,0,0,0,47.2308242243598
4,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W2,25,64000,29872,0.46675,1863,0.029109375,1919,0.029984375,57.6874561753985
4,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W2,50,64000,116,0.0018125,13,0.000203125,5,7.8125e-05,57.6874561753985
4,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W2,30,82000,19429,0.236939024390244,1235,0.0150609756097561,2085,0.0254268292682927,57.6874561753985
4,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W2,60,82000,0,0,0,0,0,0,57.6874561753985
