a0,loc0,lfw0,metric,mode,step3d_N2000_three_seed_mean,step3d_N2000_seed_std,step3d_N2000_seed_range,mode_three_seed_mean,mode_shift_vs_M0,absolute_mode_shift_vs_M0,shift_over_step3d_seed_std,shift_over_step3d_seed_range
6,7,0,D_mean_kg,M1,262.30450317759,5.23967994044979,10.36235441726,264.803889479857,2.49938630226671,2.49938630226671,0.477011254632503,0.241198689180484
6,7,0,D_mean_kg,M2L,262.30450317759,5.23967994044979,10.36235441726,206.345907318005,-55.9585958595858,55.9585958595858,10.6797736685386,5.40018161957273
6,7,0,D_mean_kg,M2H,262.30450317759,5.23967994044979,10.36235441726,329.939857622126,67.6353544445355,67.6353544445355,12.9082988299338,6.52702578208278
6,7,0,D_q95_kg,M0,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
6,7,0,D_q95_kg,M1,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
6,7,0,D_q95_kg,M2L,607.969887897881,0,0,604.333160588786,-3.63672730909491,3.63672730909491,NaN,NaN
6,7,0,D_q95_kg,M2H,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
6,7,0,D_q99_kg,M0,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
6,7,0,D_q99_kg,M1,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
6,7,0,D_q99_kg,M2L,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
6,7,0,D_q99_kg,M2H,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
6,7,0,full_loss_probability,M0,0.0601666666666667,0.00436844747402705,0.0085,0.0601666666666667,0,0,0,0
6,7,0,full_loss_probability,M1,0.0601666666666667,0.00436844747402705,0.0085,0.065,0.00483333333333334,0.00483333333333334,1.10641901088895,0.568627450980392
6,7,0,full_loss_probability,M2L,0.0601666666666667,0.00436844747402705,0.0085,0.051,-0.00916666666666667,0.00916666666666667,2.09838088272042,1.07843137254902
6,7,0,full_loss_probability,M2H,0.0601666666666667,0.00436844747402705,0.0085,0.0841666666666667,0.024,0.024,5.49394267475891,2.82352941176471
6,7,0,A0_pair_share,M0,0.109366161616162,0.00237324436100925,0.00443939393939401,0.109366161616162,0,0,0,0
6,7,0,A0_pair_share,M1,0.109366161616162,0.00237324436100925,0.00443939393939401,0.112069444444445,0.00270328282828283,0.00270328282828283,1.13906636530814,0.608930602957898
6,7,0,A0_pair_share,M2L,0.109366161616162,0.00237324436100925,0.00443939393939401,0.0749911616161617,-0.034375,0.034375,14.4843913103755,7.74317406143333
6,7,0,A0_pair_share,M2H,0.109366161616162,0.00237324436100925,0.00443939393939401,0.160444444444445,0.0510782828282828,0.0510782828282828,21.5225552275457,11.5056882821386
6,7,0,C_reachable_mean_km,M0,20.8220347377084,0.0313631601030346,0.054715615426101,20.8220347377084,-1.06581410364015e-14,1.06581410364015e-14,3.39829947026616e-13,1.94791577384273e-13
6,7,0,C_reachable_mean_km,M1,20.8220347377084,0.0313631601030346,0.054715615426101,20.8608301076494,0.0387953699409707,0.0387953699409707,1.23697260778314,0.709036527120265
6,7,0,C_reachable_mean_km,M2L,20.8220347377084,0.0313631601030346,0.054715615426101,20.4659835658002,-0.35605117190828,0.35605117190828,11.3525285952875,6.50730452605735
6,7,0,C_reachable_mean_km,M2H,20.8220347377084,0.0313631601030346,0.054715615426101,21.2591802068261,0.437145469117691,0.437145469117691,13.9381831321071,7.9894097089724
6,7,0,W3_failed_lines_mean,M0,7.643,0.107851750101702,0.196000000000001,7.643,0,0,0,0
6,7,0,W3_failed_lines_mean,M1,7.643,0.107851750101702,0.196000000000001,7.75966666666667,0.116666666666666,0.116666666666666,1.08173178976374,0.595238095238091
6,7,0,W3_failed_lines_mean,M2L,7.643,0.107851750101702,0.196000000000001,5.58416666666667,-2.05883333333334,2.05883333333334,19.0894754270737,10.5042517006802
6,7,0,W3_failed_lines_mean,M2H,7.643,0.107851750101702,0.196000000000001,10.3975,2.7545,2.7545,25.539687556322,14.0535714285714
6,7,0,W3_closed_roads_mean,M0,4.02133333333333,0.088713490142894,0.1575,4.02133333333333,0,0,0,0
6,7,0,W3_closed_roads_mean,M1,4.02133333333333,0.088713490142894,0.1575,4.14316666666667,0.121833333333333,0.121833333333333,1.37333491374414,0.773544973544971
6,7,0,W3_closed_roads_mean,M2L,4.02133333333333,0.088713490142894,0.1575,2.71783333333333,-1.3035,1.3035,14.6933684820697,8.27619047619047
6,7,0,W3_closed_roads_mean,M2H,4.02133333333333,0.088713490142894,0.1575,5.97266666666667,1.95133333333333,1.95133333333333,21.9959031054944,12.389417989418
