time_h,event,station_total_kg,onboard_total_kg,consumed_H2_kg,original_total_kg,mass_error_kg,case
0.0,INITIAL_OPTION_A,222.9312153119796,1.0,0.0,223.9312153119796,0.0,EXTRA-fuel-exhaustion
0.0,INSTANT_COMPLETE,222.9312153119796,1.0,0.0,223.9312153119796,0.0,EXTRA-fuel-exhaustion
0.08332500000000001,INTERVAL_END,222.9312153119796,0.0,1.0,223.9312153119796,0.0,EXTRA-fuel-exhaustion
0.08332500000000001,INSTANT_COMPLETE,222.9312153119796,0.0,1.0,223.9312153119796,0.0,EXTRA-fuel-exhaustion
0.5,INTERVAL_END,222.9312153119796,0.0,1.0,223.9312153119796,0.0,EXTRA-fuel-exhaustion
0.5,INSTANT_COMPLETE,222.9312153119796,0.0,1.0,223.9312153119796,0.0,EXTRA-fuel-exhaustion
0.6,INTERVAL_END,222.9312153119796,0.0,1.0,223.9312153119796,0.0,EXTRA-fuel-exhaustion
0.6,FINAL,222.9312153119796,0.0,1.0,223.9312153119796,0.0,EXTRA-fuel-exhaustion
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-offsite-refuel
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-offsite-refuel
0.21666666666666665,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-offsite-refuel
0.21666666666666665,REJECTED_NOT_AT_SITE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-offsite-refuel
0.21666666666666665,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-offsite-refuel
0.4,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-offsite-refuel
0.4,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-offsite-refuel
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
0.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
0.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
1.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
1.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
1.4,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
1.4,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
1.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
1.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
1.6,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
1.6,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-boundary-arrival
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
0.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
0.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
1.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
1.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
1.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
1.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
2.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
2.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
2.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
2.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
3.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
3.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
3.4,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
3.4,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
3.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
3.5,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-horizon-in-transit
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-concurrent-service
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,EXTRA-concurrent-service
0.3,INTERVAL_END,195.9312153119796,22.763112674903855,5.236887325096146,223.9312153119796,0.0,EXTRA-concurrent-service
0.3,INSTANT_COMPLETE,195.9312153119796,22.763112674903855,5.236887325096146,223.9312153119796,0.0,EXTRA-concurrent-service
