unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,path_probability,STATE19_SAA_operating_loss,STATE19_DRO_operating_loss,SAA_minus_DRO_loss,STATE19_SAA_shortage_kg,STATE19_DRO_shortage_kg,SAA_minus_DRO_shortage_kg,DRO_improves_loss,DRO_improves_shortage,verified_low_probability_high_harm_replica
891,688,5,SO-P0688-R05,4.97664e-12,594346.322986975,594346.322986975,0.0,295.938684777569,295.938684777569,0.0,False,False,True
892,689,1,SO-P0689-R01,1.9961856e-10,820405.48924119,820405.48924119,0.0,409.950085917683,409.950085917683,0.0,False,False,True
892,689,2,SO-P0689-R02,1.9961856e-10,492205.610846879,492205.610846879,0.0,244.933584267518,244.933584267518,0.0,False,False,True
892,689,3,SO-P0689-R03,1.9961856e-10,779974.213118041,779974.213118041,0.0,389.220740255844,389.220740255844,0.0,False,False,True
892,689,4,SO-P0689-R04,1.9961856e-10,682884.385968084,682884.385968084,0.0,340.943185227614,340.943185227614,0.0,False,False,True
892,689,5,SO-P0689-R05,1.9961856e-10,751636.656731444,751636.656731444,0.0,375.583012846739,375.583012846739,0.0,False,False,True
893,690,1,SO-P0690-R01,5.54496e-11,857834.54743114,857834.54743114,0.0,428.770149742247,428.770149742247,0.0,False,False,True
893,690,2,SO-P0690-R02,5.54496e-11,829979.08346937,829979.08346937,0.0,414.85966778496,414.85966778496,0.0,False,False,True
893,690,3,SO-P0690-R03,5.54496e-11,552531.769418506,552531.769418506,0.0,274.936584567548,274.936584567548,0.0,False,False,True
893,690,4,SO-P0690-R04,5.54496e-11,865333.458458281,865333.458458281,0.0,432.315958868614,432.315958868614,0.0,False,False,True
893,690,5,SO-P0690-R05,5.54496e-11,791448.213231054,791448.213231054,0.0,395.22134031585,395.22134031585,0.0,False,False,True
897,691,1,SO-P0691-R01,3.456e-15,237488.470505633,237308.035598998,180.43490663502598,115.920682977389,115.920682977389,0.0,True,False,True
897,691,2,SO-P0691-R02,3.456e-15,44277.6459846886,44277.6459846886,0.0,20.4565911136568,20.4565911136568,0.0,False,False,False
897,691,3,SO-P0691-R03,3.456e-15,95967.9246906268,95967.9246906268,0.0,45.8227640945913,45.8227640945913,0.0,False,False,True
897,691,4,SO-P0691-R04,3.456e-15,23525.633576589,23525.633576589,0.0,9.81916373455527,9.81916373455527,0.0,False,False,False
897,691,5,SO-P0691-R05,3.456e-15,140321.500709258,140321.500709258,0.0,67.9158824973406,67.9158824973406,0.0,False,False,True
899,692,1,SO-P0692-R01,1.93536e-12,308939.616052952,308939.616052952,0.0,152.742546981971,152.742546981971,0.0,False,False,True
899,692,2,SO-P0692-R02,1.93536e-12,337004.631878374,336960.569813951,44.0620644230512,166.107519842893,166.107519842893,0.0,True,False,True
899,692,3,SO-P0692-R03,1.93536e-12,450135.679357422,450135.679357422,0.0,223.931484057497,223.931484057497,0.0,False,False,True
899,692,4,SO-P0692-R04,1.93536e-12,223732.726096939,223732.726096939,0.0,110.465592013747,110.465592013747,0.0,False,False,True
899,692,5,SO-P0692-R05,1.93536e-12,320168.243297792,320166.690712232,1.5525855599553324,158.470392493795,158.470392493795,0.0,True,False,True
900,693,1,SO-P0693-R01,4.8384e-14,69453.2421414234,69452.237035541,1.0051058824028587,33.003300330033,33.003300330033,0.0,True,False,True
900,693,2,SO-P0693-R02,4.8384e-14,91034.6498589313,91034.6498589313,0.0,43.6407277091345,43.6407277091345,0.0,False,False,True
900,693,3,SO-P0693-R03,4.8384e-14,149268.601924432,149228.922682792,39.67924163999851,71.7344461718899,71.7344461718899,0.0,True,False,True
900,693,4,SO-P0693-R04,4.8384e-14,39527.2237701999,39527.2237701999,0.0,18.8200638245643,18.8200638245643,0.0,False,False,False
900,693,5,SO-P0693-R05,4.8384e-14,161324.965500664,161324.965500664,0.0,78.8260644246243,78.8260644246243,0.0,False,False,True
901,694,1,SO-P0694-R01,1.93536e-12,180800.829674801,180800.829674801,0.0,88.3724736109975,88.3724736109975,0.0,False,False,True
901,694,2,SO-P0694-R02,1.93536e-12,381201.222366031,381201.222366031,0.0,189.018901890189,189.018901890189,0.0,False,False,True
901,694,3,SO-P0694-R03,1.93536e-12,329105.624025625,329105.624025625,0.0,162.834465264708,162.834465264708,0.0,False,False,True
901,694,4,SO-P0694-R04,1.93536e-12,349948.909133075,349948.909133075,0.0,173.47189264381,173.47189264381,0.0,False,False,True
901,694,5,SO-P0694-R05,1.93536e-12,234227.165304969,234227.165304969,0.0,114.82966478466,114.82966478466,0.0,False,False,True
902,695,1,SO-P0695-R01,5.376e-13,430088.596840921,430088.596840921,0.0,213.566811226577,213.566811226577,0.0,False,False,True
902,695,2,SO-P0695-R02,5.376e-13,457950.413898366,457950.413898366,0.0,227.204538635682,227.204538635682,0.0,False,False,True
902,695,3,SO-P0695-R03,5.376e-13,258490.822204771,258490.822204771,0.0,127.649128549219,127.649128549219,0.0,False,False,True
902,695,4,SO-P0695-R04,5.376e-13,349650.012850999,349650.012850999,0.0,173.199138095628,173.199138095628,0.0,False,False,True
902,695,5,SO-P0695-R05,5.376e-13,158681.32283713,158679.754411056,1.5684260739944875,76.9167825873496,76.9167825873496,0.0,True,False,True
903,696,1,SO-P0696-R01,3.2e-14,385789.573239551,385789.573239551,0.0,192.019201920192,192.019201920192,0.0,False,False,True
903,696,2,SO-P0696-R02,3.2e-14,519964.349874453,519964.349874453,0.0,259.116820772986,259.116820772986,0.0,False,False,True
903,696,3,SO-P0696-R03,3.2e-14,461495.359908451,461495.359908451,0.0,229.113820472956,229.113820472956,0.0,False,False,True
903,696,4,SO-P0696-R04,3.2e-14,356799.199251057,356799.199251057,0.0,176.199438125631,176.199438125631,0.0,False,False,True
903,696,5,SO-P0696-R05,3.2e-14,551416.946642615,551416.946642615,0.0,275.482093663912,275.482093663912,0.0,False,False,True
904,697,1,SO-P0697-R01,3.04e-12,531789.115448033,531789.115448033,0.0,265.117420832992,265.117420832992,0.0,False,False,True
904,697,2,SO-P0697-R02,3.04e-12,486501.263746268,486501.263746268,0.0,242.206038785697,242.206038785697,0.0,False,False,True
904,697,3,SO-P0697-R03,3.04e-12,556664.873523067,556664.873523067,0.0,277.118620953004,277.118620953004,0.0,False,False,True
904,697,4,SO-P0697-R04,3.04e-12,468116.742122849,468116.742122849,0.0,232.932384147506,232.932384147506,0.0,False,False,True
904,697,5,SO-P0697-R05,3.04e-12,553273.153607832,553273.153607832,0.0,276.027602760276,276.027602760276,0.0,False,False,True
905,698,1,SO-P0698-R01,1.9e-13,237181.592999135,237181.592999135,0.0,117.284455718299,117.284455718299,0.0,False,False,True
905,698,2,SO-P0698-R02,1.9e-13,138241.3119818,138241.3119818,0.0,67.0976188527944,67.0976188527944,0.0,False,False,True
905,698,3,SO-P0698-R03,1.9e-13,175042.545318742,175042.545318742,0.0,85.6449281291766,85.6449281291766,0.0,False,False,True
905,698,4,SO-P0698-R04,1.9e-13,162460.206868883,162460.206868883,0.0,79.0988189728064,79.0988189728064,0.0,False,False,True
905,698,5,SO-P0698-R05,1.9e-13,326154.533673386,326154.533673386,0.0,161.74344707198,161.74344707198,0.0,False,False,True
906,699,1,SO-P0699-R01,1.0944e-10,649170.376876331,649170.376876331,0.0,323.48689414396,323.48689414396,0.0,False,False,True
906,699,2,SO-P0699-R02,1.0944e-10,621723.427626669,621723.427626669,0.0,309.849166734855,309.849166734855,0.0,False,False,True
906,699,3,SO-P0699-R03,1.0944e-10,654292.044397086,654292.044397086,0.0,326.214439625781,326.214439625781,0.0,False,False,True
906,699,4,SO-P0699-R04,1.0944e-10,525852.221300605,525852.221300605,0.0,261.844366254807,261.844366254807,0.0,False,False,True
906,699,5,SO-P0699-R05,1.0944e-10,449676.847868071,449676.847868071,0.0,222.840465864768,222.840465864768,0.0,False,False,True
907,700,1,SO-P0700-R01,7.1136e-13,856085.190381681,856085.190381681,0.0,427.951886097701,427.951886097701,0.0,False,False,True
