unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,D_finite,D_nonnegative,C_domain_exact,D_persistent_nondecreasing,A_persistent_nonincreasing,C_nondecreasing_while_reachable,failed_line_persistent,closed_road_persistent,source_demand_zero,passed,formal_scenario_sha256
24,18,2,SO-P0018-R02,1,1,1,1,1,1,1,1,1,1,ad2a9e0450586eb8ebf3da0bd64bb141d92abf0ce5a589522c5931d5e6a3072d
24,18,3,SO-P0018-R03,1,1,1,1,1,1,1,1,1,1,ed8b54d8aa7200328fd13594825e5576a37d0d5b48fc7ce349709496b45b68c3
24,18,4,SO-P0018-R04,1,1,1,1,1,1,1,1,1,1,50396c114aaea0ad0cff1986e5fa435f3091cbd53b5dbeebb0c341a86e70ec2f
24,18,5,SO-P0018-R05,1,1,1,1,1,1,1,1,1,1,83af1aa1916f55b0c51d13bfcd42aa09fe10db7d69ee84f5d49f9f266ac6f3af
25,19,1,SO-P0019-R01,1,1,1,1,1,1,1,1,1,1,13b2711d85c3a87072154a02d4bada00d63d747a47c662092800722d492adf6a
25,19,2,SO-P0019-R02,1,1,1,1,1,1,1,1,1,1,f3c4e378d450f717ff5eb1e6eb9d67007c091faf754fcc8cc206ace0a314ee1a
25,19,3,SO-P0019-R03,1,1,1,1,1,1,1,1,1,1,e7eb4f026841f99d8e5f07dff595ae42e01d8d2a54c8d601df2578a25db00988
25,19,4,SO-P0019-R04,1,1,1,1,1,1,1,1,1,1,7f0df605ef74e5f0aee3b73c799036fdbd2f8036b5565438ec0bb1db35b8d564
25,19,5,SO-P0019-R05,1,1,1,1,1,1,1,1,1,1,42650447701063a90016155e6eda36b3146803ff0be378a5872303a151b6c37a
26,20,1,SO-P0020-R01,1,1,1,1,1,1,1,1,1,1,f78596ad30d0aea1fe37ee59c36928857dd1656278bf0505ee6603b64b28c3f2
26,20,2,SO-P0020-R02,1,1,1,1,1,1,1,1,1,1,b7b05f4992fe7b3348e04644594425aeef50decc87b93fbeb84e2cb83877828c
26,20,3,SO-P0020-R03,1,1,1,1,1,1,1,1,1,1,58f57807745bec572eaf807b43e0c7bd2ee60ac4d97efadc9c3a5efe2a85838b
26,20,4,SO-P0020-R04,1,1,1,1,1,1,1,1,1,1,0c147904c3f963fe2bd9254b03403aaba96d54f502ccab1ca6d635c2e7327474
26,20,5,SO-P0020-R05,1,1,1,1,1,1,1,1,1,1,017ff97ba9830b5dfc2f2699c84a944b6f3898016e40f08faa46ba9a8b5cda63
27,21,1,SO-P0021-R01,1,1,1,1,1,1,1,1,1,1,ba7989a1089c93e8235a9deb0155d82eb4744d3b126bacd8a2039c8d3b8420cb
27,21,2,SO-P0021-R02,1,1,1,1,1,1,1,1,1,1,89203d939a533d2b16808cac355ef00c8c5f3feb3f508e94928454565b542d67
27,21,3,SO-P0021-R03,1,1,1,1,1,1,1,1,1,1,b55fb7f7f19698e56b46b5f4ceae67fb8377f17a3b3784632a4b93d7227cd10b
27,21,4,SO-P0021-R04,1,1,1,1,1,1,1,1,1,1,7c2fe22041e9048b231f81ebe7dbdd5d3177cf0c33dd85eeba82769becfbedcc
27,21,5,SO-P0021-R05,1,1,1,1,1,1,1,1,1,1,8d2529b1a6c48ec7ddc1cc2c7da889300a2b132ed9ba036d5e9db78a36d483d9
28,22,1,SO-P0022-R01,1,1,1,1,1,1,1,1,1,1,e21a7ed637df8806e4f089a4b405941475b7e858e11fcd6c4b811f33842a7af3
28,22,2,SO-P0022-R02,1,1,1,1,1,1,1,1,1,1,9343545346053ed3bf4572d684f944225026dc2877f374e600efdd5456399e0a
28,22,3,SO-P0022-R03,1,1,1,1,1,1,1,1,1,1,194e14a0a57802673057095a497c89fb1732f70dd82f702d9f9d755aa2fe9805
28,22,4,SO-P0022-R04,1,1,1,1,1,1,1,1,1,1,914ee60f7e756db9cc8ebe5cf34989819b578560013840f49efba7072ec0dd29
28,22,5,SO-P0022-R05,1,1,1,1,1,1,1,1,1,1,035cef99da2c948c087026fdc37f3861e3fc006865823fa3b5fa1e80cc1703ba
29,23,1,SO-P0023-R01,1,1,1,1,1,1,1,1,1,1,95b69ee4c45dd216ad6e10e229bb4e6af1630ae51ecbdba05f955cecbc64d59e
29,23,2,SO-P0023-R02,1,1,1,1,1,1,1,1,1,1,7036b99439cfe1d49e0fdb56fb657770fa34270f0bc1add06b0803d99c66b080
29,23,3,SO-P0023-R03,1,1,1,1,1,1,1,1,1,1,d3b66de34b344a0a55a154f03a3c3f400f98fd9341afbf07e4fcfdebcb12bc38
29,23,4,SO-P0023-R04,1,1,1,1,1,1,1,1,1,1,0d6e106e6708691fe1ddf798ea4efdf0f7a8fabe20835055a8ec442ac3359770
29,23,5,SO-P0023-R05,1,1,1,1,1,1,1,1,1,1,b7242bec9e6aab5caf60f3fa378c3576910d6f8e6c7f05e98294d6a7cc23a448
30,24,1,SO-P0024-R01,1,1,1,1,1,1,1,1,1,1,3f615830b150a894264217de85874f8dc6ee89736f98bb22113b69706fdb5a93
30,24,2,SO-P0024-R02,1,1,1,1,1,1,1,1,1,1,77c47786a385983fc7a75a558715909db95959a29eb7cbfa31a9e0770475e1ee
30,24,3,SO-P0024-R03,1,1,1,1,1,1,1,1,1,1,82304f34052e1dcba7ff84a94cdd73c445d28c209af7d2cadd3dc23f7c37a4b1
30,24,4,SO-P0024-R04,1,1,1,1,1,1,1,1,1,1,a3b386df10e4e50df56d6378b40aec2eba3da45e7f27fbf875c6a2837318bc07
30,24,5,SO-P0024-R05,1,1,1,1,1,1,1,1,1,1,1437ffc166fa26bea12f7be7c897b7c0ff14473577efeb98c23f0e42bbc6060c
31,25,1,SO-P0025-R01,1,1,1,1,1,1,1,1,1,1,807a28252aac433938278577a47414f7c701722f3e962be84bd4ba7342552d61
31,25,2,SO-P0025-R02,1,1,1,1,1,1,1,1,1,1,08956c3afe78f9a7ffbc154b4e8b3004fd8b72c24b726a85ea76f09495b55ac3
31,25,3,SO-P0025-R03,1,1,1,1,1,1,1,1,1,1,3b4d542e5cc185abcfa501ef9f14bdd373cdf5da5d1bb9683632226a6b2fff46
31,25,4,SO-P0025-R04,1,1,1,1,1,1,1,1,1,1,11e71230d4d7f8b8380228c84de31a966900eae83397d99226126c20202aecf4
31,25,5,SO-P0025-R05,1,1,1,1,1,1,1,1,1,1,9c898d829ba83b120be4d5e16463eabcc535a99908a05e75d99511e250cc2426
32,26,1,SO-P0026-R01,1,1,1,1,1,1,1,1,1,1,072a2e73211effb455dea3b5d752d9e2f52a91d511147322a497ca745e8c26d8
32,26,2,SO-P0026-R02,1,1,1,1,1,1,1,1,1,1,48179c2b649fcefdb36a2836a26639062e48ea9f2c39d3ea62ac6dd2f4c02b9d
32,26,3,SO-P0026-R03,1,1,1,1,1,1,1,1,1,1,8b31c49fd421bb2d5443ac575d9165d500cbab110a280e9720f900a8ae5e976a
32,26,4,SO-P0026-R04,1,1,1,1,1,1,1,1,1,1,ffece20d1398e96718ed341d9ebace9901b0ffe3137fc21ae434791fb4d5ba46
32,26,5,SO-P0026-R05,1,1,1,1,1,1,1,1,1,1,a1505a8f98040072feb37d2bcf45e729199ca12d6563c2b7257ceda52fbea3e9
33,27,1,SO-P0027-R01,1,1,1,1,1,1,1,1,1,1,0316499917f766aec3b887af8297adbc04146f6b219c056cba86e3c37ea4166d
33,27,2,SO-P0027-R02,1,1,1,1,1,1,1,1,1,1,13d8e976f525977d64b5afc8705087e1cf331ca61822a0f238794b8ae37017b7
33,27,3,SO-P0027-R03,1,1,1,1,1,1,1,1,1,1,c0f25337f111314c093fe1f7447a0b4d9cfb6d9218ecba01789fe7a8d9dd7d5b
33,27,4,SO-P0027-R04,1,1,1,1,1,1,1,1,1,1,bf43b32bd72ab12e62edfe1be8da96ac065d95ccaf80d9d70a104d3a4f129858
33,27,5,SO-P0027-R05,1,1,1,1,1,1,1,1,1,1,9172d553e5e5b2cd3a99e6251b4fe23cb53a5f5c0e6d236566d76583ed736045
34,28,1,SO-P0028-R01,1,1,1,1,1,1,1,1,1,1,1fee5f42ba914ae164bdb333583dabbd893607bb1742a3727e36e811f6cc911e
34,28,2,SO-P0028-R02,1,1,1,1,1,1,1,1,1,1,24d557802c2d3a29a5944a8e9af2ab1a118a917d93f6020a08563f6d85d19fa9
34,28,3,SO-P0028-R03,1,1,1,1,1,1,1,1,1,1,f17ee725de7d62542d3cf943a7399dd61b9993a7cf5f478d8b18ffd1b7965834
34,28,4,SO-P0028-R04,1,1,1,1,1,1,1,1,1,1,da055321ee3c5a167c78eaca17fe6b28c2d5a53706f3a2aa271bb13c47496828
34,28,5,SO-P0028-R05,1,1,1,1,1,1,1,1,1,1,47fbb59bf8d7c135fe714ffda4172fa1177bd894f10c0d03baa1837077ae1e12
35,29,1,SO-P0029-R01,1,1,1,1,1,1,1,1,1,1,a2c6ca2e93beed1db94ec2b35fc37d3cd68487d5d9bb036992ca4a744bd64fc3
35,29,2,SO-P0029-R02,1,1,1,1,1,1,1,1,1,1,dc0e965bca4b67b8fd318bd43480d26a302964599da32771d4bf255c23e9c9b0
35,29,3,SO-P0029-R03,1,1,1,1,1,1,1,1,1,1,e8fb64529d1a7bc96ba61fb1530394cdd78fa623ea9064103b3597660f6b9664
35,29,4,SO-P0029-R04,1,1,1,1,1,1,1,1,1,1,e926d47d0e6c7bdb345074f4c9b2b40db6e238909161ffd50d772a1b2cace6d4
35,29,5,SO-P0029-R05,1,1,1,1,1,1,1,1,1,1,0f08434e95c3932aad34dd76b310cef087fb543a35e16cda1fcebcb52a31c084
37,30,1,SO-P0030-R01,1,1,1,1,1,1,1,1,1,1,29b6ea61dbc485a4835ca7b123a41bb9cb39116b60abd93953e22b93800be6f8
37,30,2,SO-P0030-R02,1,1,1,1,1,1,1,1,1,1,acd138db6fcfb56fa95ab30822b348a94f718c203485feda6f2b928712d331ea
