group,path_id,real_hour_count,first_HTT_hour_gt0,first_meaningful_HTT_hour_ge1kg,first_meaningful_HTT_hour_ge5kg,peak_HTT_hour,peak_HTT_kg,last_HTT_hour,final16h_HTT_kg,final8h_HTT_kg,final4h_HTT_kg,cumulative_HTT_by_-24h_kg,checkpoint_-24h_available,cumulative_HTT_by_-16h_kg,checkpoint_-16h_available,cumulative_HTT_by_-8h_kg,checkpoint_-8h_available,cumulative_HTT_by_-4h_kg,checkpoint_-4h_available,cumulative_HTT_by_0h_kg,checkpoint_0h_available
surplus_gt100,4373,40,-16,-16,-16,-16,25.0295115044,-8,45.2768507236,14.7725820084,0,0,True,0,True,30.5042687153,True,45.2768507236,True,45.2768507236,True
surplus_gt100,4393,32,-13,-13,-8,-8,19.3294645413,-8,21.6789649069,19.3294645413,0,0,True,0,True,2.34950036567,True,21.6789649069,True,21.6789649069,True
surplus_gt100,4433,32,-16,-16,-16,-8,31.8268668133,-3,75.7842681921,45.8505715396,6.90608760888,0,True,0,True,29.9336966525,True,68.8781805832,True,75.7842681921,True
surplus_gt100,4437,24,-8,-8,-8,-8,18.9239362913,-8,18.9239362913,18.9239362913,0,0,True,0,True,0,True,18.9239362913,True,18.9239362913,True
surplus_gt100,4459,40,-24,-24,-24,-24,21.8980539775,-12,13.7219304278,0,0,0,True,21.8980539775,True,35.6199844053,True,35.6199844053,True,35.6199844053,True
surplus_gt100,4495,40,-16,-16,-16,-16,30.1581590141,-7,67.0612154671,26.9392592044,0,0,True,0,True,40.1219562627,True,67.0612154671,True,67.0612154671,True
surplus_gt100,4512,32,-16,-16,-16,-8,18.0338902505,-1,59.2903022177,50.0897037218,17.584369411,0,True,0,True,9.20059849591,True,41.7059328067,True,59.2903022177,True
surplus_gt100,4549,32,-9,-9,-9,-1,17.584369411,-1,59.2903022177,49.9088647153,17.584369411,0,True,0,True,9.38143750247,True,41.7059328067,True,59.2903022177,True
surplus_gt100,4557,32,-16,-16,-16,-5,45.880065843,-5,92.0321639283,58.3735405107,0,0,True,0,True,33.6586234176,True,92.0321639283,True,92.0321639283,True
surplus_gt100,4571,32,-16,-9,-9,-9,28.9697577081,-7,53.1341997365,23.4325872718,0,0,True,0,True,29.7016124647,True,53.1341997365,True,53.1341997365,True
surplus_gt100,4634,32,-16,-16,-16,-16,21.0145914238,-8,36.9937698849,15.9791784611,0,0,True,0,True,21.0145914238,True,36.9937698849,True,36.9937698849,True
surplus_gt100,4656,40,-16,-16,-16,-16,23.1239088452,-8,44.8725587026,14.5178379629,0,0,True,0,True,30.3547207397,True,44.8725587026,True,44.8725587026,True
surplus_gt100,4696,40,-18,-16,-16,-16,51.4047265729,-1,54.8032525477,3.39852597488,3.39852597488,0,True,0.932635475523,True,52.3373620484,True,52.3373620484,True,55.7358880233,True
surplus_gt100,4791,32,-16,-16,-16,-16,27.2647665939,-16,27.2647665939,0,0,0,True,0,True,27.2647665939,True,27.2647665939,True,27.2647665939,True
surplus_gt100,4807,40,-21,-21,-16,-16,31.9064572212,-9,44.2715186545,0,0,0,True,2.34950036567,True,46.6210190202,True,46.6210190202,True,46.6210190202,True
surplus_gt100,4812,40,-16,-16,-16,-8,25.1949215141,-8,61.1879424329,25.1949215141,0,0,True,0,True,35.9930209188,True,61.1879424329,True,61.1879424329,True
surplus_gt100,4819,40,-24,-24,-24,-19,38.9073806297,-8,50.3157699605,13.7687172728,0,0,True,55.9434385207,True,92.4904912084,True,106.259208481,True,106.259208481,True
surplus_gt100,4840,40,-16,-16,-16,-16,34.8837732771,-1,37.2850189308,2.40124565369,2.40124565369,0,True,0,True,34.8837732771,True,34.8837732771,True,37.2850189308,True
surplus_gt100,4874,40,-16,-16,-16,-16,55.7911284352,-2,69.8451463856,13.3212135023,1.31900696556,0,True,0,True,56.5239328833,True,68.5261394201,True,69.8451463856,True
surplus_gt100,4891,32,-16,-16,-8,-8,17.6674677142,-5,29.731683492,28.345410983,0,0,True,0,True,1.38627250897,True,29.731683492,True,29.731683492,True
surplus_gt100,4916,40,-16,-16,-16,-16,15.5021602487,-8,25.1950483169,1.07476517442,0,0,True,0,True,24.1202831425,True,25.1950483169,True,25.1950483169,True
