pair_id,group_type,initial_state_id,rank,site_id,node_id,local_Ctilde_difference,A_r,A_s,C_r_km,C_s_km,D_r_kg,D_s_kg
18,TIER1,11,1,1,17,1,1,0,28.836496468163,NaN,0,0
18,TIER1,11,2,2,17,1,1,0,6.49317232292774,NaN,0,0
18,TIER1,11,3,3,17,1,0,1,NaN,2.12635515982615,0,0
18,TIER1,11,4,4,17,1,1,0,27.0616176059944,NaN,0,0
18,TIER1,11,5,2,31,0.00173452089297615,1,1,24.3778996433288,24.9973883676148,24.5479093363882,16.3652728909255
18,TIER1,11,6,2,32,0.00173452089297615,1,1,21.2689252843544,21.8884140086404,34.3670730709435,22.9113820472956
18,TIER1,11,7,2,33,0.00173452089297615,1,1,17.1022586176878,17.7217473419738,9.81916373455527,6.54610915637018
18,TIER1,11,8,4,15,0.00128929559644493,1,1,26.4612329766621,26.9217083087861,0,0
18,TIER1,11,9,4,14,0.0011563472619841,1,1,24.3778996433288,24.7908921261861,0,0
18,TIER1,11,10,2,28,0.00113723140180941,1,1,18.3081323016718,18.7142975045112,9.81916373455527,6.54610915637018
19,TIER1,11,1,1,1,1,0,1,NaN,17.8999801967147,0,0
19,TIER1,11,2,4,1,1,0,1,NaN,37.6069953773809,0,0
19,TIER1,11,3,1,2,1,0,1,NaN,13.0247264465471,16.3652728909255,16.3652728909255
19,TIER1,11,4,4,2,1,0,1,NaN,32.7317416272134,16.3652728909255,16.3652728909255
19,TIER1,11,5,1,3,1,0,1,NaN,8.29132357693339,14.7287456018329,14.7287456018329
19,TIER1,11,6,4,3,1,0,1,NaN,27.9983387575997,14.7287456018329,14.7287456018329
19,TIER1,11,7,1,4,1,0,1,NaN,10.6793466152226,19.6383274691105,19.6383274691105
19,TIER1,11,8,4,4,1,0,1,NaN,27.3016701100429,19.6383274691105,19.6383274691105
19,TIER1,11,9,1,5,1,0,1,NaN,13.0960647222297,9.81916373455527,9.81916373455527
19,TIER1,11,10,4,5,1,0,1,NaN,26.6179210168574,9.81916373455527,9.81916373455527
20,CONTROL,11,1,1,21,1,0,1,NaN,16.9897683968562,9.81916373455527,9.81916373455527
20,CONTROL,11,2,2,21,1,0,1,NaN,21.5533056583505,9.81916373455527,9.81916373455527
20,CONTROL,11,3,3,21,1,0,1,NaN,21.3289466839915,9.81916373455527,9.81916373455527
20,CONTROL,11,4,4,21,1,0,1,NaN,34.9213371541515,9.81916373455527,9.81916373455527
20,CONTROL,11,5,1,22,1,0,1,NaN,22.109327775117,9.81916373455527,9.81916373455527
20,CONTROL,11,6,2,22,1,0,1,NaN,26.6728650366112,9.81916373455527,9.81916373455527
20,CONTROL,11,7,3,22,1,0,1,NaN,26.4485060622523,9.81916373455527,9.81916373455527
20,CONTROL,11,8,4,22,1,0,1,NaN,40.0408965324122,9.81916373455527,9.81916373455527
20,CONTROL,11,9,1,9,0.0248098557758699,1,1,31.288840699576,22.4279350935662,6.54610915637018,6.54610915637018
20,CONTROL,11,10,1,27,0.0208051623506661,1,1,23.1166838315789,15.68606507376,6.54610915637018,6.54610915637018
21,TIER1,21,1,2,9,0.0593749086029454,1,1,33.4219917336794,12.2160860948462,6.54610915637018,6.54610915637018
21,TIER1,21,2,2,8,0.0527656730393843,1,1,30.9039791928539,12.0585795152668,21.8203638545673,21.8203638545673
21,TIER1,21,3,1,29,0.0469901287263686,1,1,26.5247402211568,43.307388972528,13.0922183127404,13.0922183127404
21,TIER1,21,4,2,7,0.0341772408987392,1,1,27.5701148769549,15.3636228999991,21.8203638545673,21.8203638545673
21,TIER1,21,5,2,6,0.0316862948484447,1,1,29.0998560057774,17.7830119985929,6.54610915637018,6.54610915637018
21,TIER1,21,6,2,5,0.0316119990501199,1,1,31.4685541984216,20.178245132102,6.54610915637018,6.54610915637018
21,TIER1,21,7,1,30,0.0289008242976137,1,1,29.6928781518694,40.0148839849747,21.8203638545673,21.8203638545673
