evaluation_id,pair_id,pair_group,initial_state_id,scenario_id,path_id,scenario_role,T_source,replay_case,identity_and_fixed_T_match,period_operating_loss,flat_operating_loss,operating_loss_abs_error,service_cost_abs_error,shortage_kg_abs_error,shortage_loss_abs_error,site_service_max_abs_error,period_site_node_service_max_abs_error,period_node_shortage_max_abs_error,flat_objective_decomposition_abs_error,evaluation_max_required_error,within_solver_tolerance
92,23,STEP03T_TIER1,21,2987,2987,xi_s,T_s,T_S_ON_S,1,5150.63806304766,5150.63806304766,9.09494701772928e-13,9.09494701772928e-13,0,0,5.6843418860808e-14,3.30305757848508,0,0,3.30305757848508,0
93,24,STEP03T_CONTROL,21,4441,4441,xi_r,T_r,T_R_ON_R,1,125217.184936682,125217.184936682,0,4.54747350886464e-13,0,0,1.4210854715202e-14,6.54610915637018,0,4.09272615797818e-12,6.54610915637018,0
94,24,STEP03T_CONTROL,21,11613,11613,xi_s,T_r,T_R_ON_S,1,85896.3538633717,85896.3538633717,0,9.09494701772928e-13,0,0,4.2632564145606e-14,2.66453525910038e-14,0,4.09272615797818e-12,9.09494701772928e-13,1
95,24,STEP03T_CONTROL,21,4441,4441,xi_r,T_s,T_S_ON_R,1,125203.356250083,125203.356250083,0,9.09494701772928e-13,0,0,4.2632564145606e-14,0.818263600046716,0,3.63797880709171e-12,0.818263600046716,0
96,24,STEP03T_CONTROL,21,11613,11613,xi_s,T_s,T_S_ON_S,1,85724.149541813,85724.149541813,0,9.09494701772928e-13,0,0,2.8421709430404e-14,2.1316282072803e-14,0,3.63797880709171e-12,9.09494701772928e-13,1
97,25,HOLDOUT_TIER1,7,3576,3576,xi_r,T_r,T_R_ON_R,1,6.81886371455225,6.81886371455225,0,0,0,0,0,0,0,0,0,1
98,25,HOLDOUT_TIER1,7,12748,12748,xi_s,T_r,T_R_ON_S,1,0,0,0,0,0,0,0,0,0,0,0,1
99,25,HOLDOUT_TIER1,7,3576,3576,xi_r,T_s,T_S_ON_R,1,6546.10915637774,6546.10915637774,0,0,0,0,0,0,0,5.32907051820075e-14,0,1
100,25,HOLDOUT_TIER1,7,12748,12748,xi_s,T_s,T_S_ON_S,1,1.00000008274037e-08,1.00000008274037e-08,0,0,0,0,0,0,0,0,0,1
101,26,HOLDOUT_CONTROL,7,3952,3952,xi_r,T_r,T_R_ON_R,1,1307.82236947206,1307.82236947206,0,0,0,0,0,0,0,5.6843418860808e-14,0,1
102,26,HOLDOUT_CONTROL,7,9192,9192,xi_s,T_r,T_R_ON_S,1,1385.73010833301,1385.73010833301,0,0,0,0,0,0,0,5.6843418860808e-14,0,1
103,26,HOLDOUT_CONTROL,7,3952,3952,xi_r,T_s,T_S_ON_R,1,1307.82236946224,1307.82236946224,0,0,0,0,0,0,0,5.6843418860808e-14,0,1
104,26,HOLDOUT_CONTROL,7,9192,9192,xi_s,T_s,T_S_ON_S,1,1385.73010777276,1385.73010777276,0,0,0,0,0,0,0,5.6843418860808e-14,0,1
105,27,HOLDOUT_TIER1,18,9141,9141,xi_r,T_r,T_R_ON_R,1,4106.46350218021,4106.46350218021,9.09494701772928e-13,9.09494701772928e-13,0,0,1.4210854715202e-14,0,0,0,9.09494701772928e-13,1
106,27,HOLDOUT_TIER1,18,9796,9796,xi_s,T_r,T_R_ON_S,1,3815.88491252103,3815.88491252103,9.09494701772928e-13,9.09494701772928e-13,0,0,7.105427357601e-15,0,0,0,9.09494701772928e-13,1
107,27,HOLDOUT_TIER1,18,9141,9141,xi_r,T_s,T_S_ON_R,1,4259.59799078889,4259.59799078889,1.81898940354586e-12,1.81898940354586e-12,0,0,5.6843418860808e-14,0,0,0,1.81898940354586e-12,1
108,27,HOLDOUT_TIER1,18,9796,9796,xi_s,T_s,T_S_ON_S,1,3361.29807247872,3361.29807247872,4.54747350886464e-13,4.54747350886464e-13,0,0,2.8421709430404e-14,0,0,4.54747350886464e-13,4.54747350886464e-13,1
