remaining_gap_rank,state_id,terminal_state_k,intensity,loc,site,arrival_count,arrival_frequency_full_oos,T_saa_kg,T_dro_kg,delta_T_kg_per_path,positive_delta_T_mass_kg,saa_surplus_total_kg,new_target_covered_by_saa_surplus_kg,covered_share_of_positive_delta_T,uncovered_new_target_increment_kg,preexisting_saa_gap_kg,required_extra_total_kg,mean_actual_extra_kg,positive_actual_extra_total_kg,required_extra_realized_kg,effective_realization_ratio,unrealized_required_extra_kg,remaining_gap_total_kg,remaining_gap_C_D_total_kg,A_count,A_dro_falls_below_target_count,B_count,C_count,D_count,share_of_C_D_remaining_gap,cumulative_share_of_C_D_remaining_gap
54,23,239,5,2,2,20,0.002,140.195837765595,141.287090282329,1.09125251673399,21.8250503346798,28.003616423392,4.36501006693595,0.2,17.4600402677438,224.760373372912,242.220413640656,-1.93477459205725,27.9299877879711,27.9299877879711,0.115308149995179,214.290425852685,258.320225004093,251.957577050379,4,3,0,10,6,0.00534835831330021,0.92112475504051
55,23,239,5,2,3,20,0.002,49.3685732209585,61.0968533805147,11.7282801595562,234.565603191124,16.8292489440506,16.8292489440506,0.0717464483926832,217.736354247073,161.534358834115,379.270713081188,7.20587091113667,146.249007266641,146.249007266641,0.385605854136527,233.021705814547,235.153294858455,235.153294858455,0,0,0,19,1,0.00499165015864826,0.926116405199158
56,9,127,3,2,1,133,0.0133,181.381774541091,181.109015453749,-0.272759087341996,0,3716.74591277542,0,,0,334.212726695192,329.848581297718,5.18314069750443,862.996586947351,115.365218056442,0.349752051691605,214.483363241276,234.776039042515,234.109995940462,117,2,5,6,5,0.00496950382549715,0.931085909024655
57,21,223,4,7,1,124,0.0124,213.839565774759,215.20334957964,1.363783804881,169.109191805243,2546.63809194749,131.312282372663,0.776494056715083,37.7969094325808,161.28067266109,199.077582093671,2.24246653493331,502.909940768002,58.7665221484649,0.295194072232673,140.311059945206,218.621063324781,217.013503801067,93,1,8,7,16,0.00460659286670616,0.935692501891361
58,27,271,5,6,4,9,0.0009,150,150,0,0,0,0,,0,216.458519611726,216.458519611726,0.759215514572713,20.7602065817094,20.7602065817094,0.0959084753002475,195.698313030017,209.625579980572,209.625579980572,0,0,0,6,3,0.00444976780017732,0.940142269691538
59,13,159,3,6,2,89,0.0089,36.276354908218,85.3716494567399,49.0952945485219,4369.48121481845,5311.32374092801,4005.39451816505,0.916675074510298,364.086696653401,0,364.086696653401,0.0976568500739023,324.723088554552,223.087747170681,0.612732487128068,140.99894948272,201.314837803654,201.314837803653,44,0,33,6,6,0.004273353867594,0.944415623559132
60,27,271,5,6,2,9,0.0009,129.975042958841,131.468495838033,1.49345287919201,13.4410759127281,42.901493269354,2.98690575838401,0.222222222222222,10.454170154344,164.167663447352,174.621833601696,-4.7178074407781,11.203831734036,9.155363061947,0.0524296582684496,165.466470539749,197.137736934594,197.137736934594,2,0,1,2,4,0.00418468563852123,0.948600309197654
61,11,143,3,4,3,139,0.0139,16.3652728909255,24.5479067527522,8.1826338618267,1137.38610679391,1204.05882678136,800.265585618848,0.703600633802934,337.120521175064,2.85381775303199,339.974338928096,3.98451153108626,621.082871345632,178.819098236936,0.525978221770307,161.15524069116,187.328408869056,184.18563874395,67,1,33,33,6,0.00390974863188871,0.952510057829542
62,23,239,5,2,4,20,0.002,150,150,0,0,0,0,,0,171.59370194438,171.59370194438,-2.0810607457826,15.005627373314,15.005627373314,0.0874485904976738,156.588074571066,213.214916860032,183.594264325912,6,5,3,7,4,0.00389719539843564,0.956407253227978
63,22,231,5,1,4,9,0.0009,150,150,0,0,0,0,,0,142.516308037659,142.516308037659,-3.81021894934078,8.65156667719801,8.65156667719801,0.0607058012961709,133.864741360461,176.808278581726,176.507016325425,1,1,2,2,4,0.0037467528429643,0.960154006070942
64,21,223,4,7,4,124,0.0124,93.2820554782751,101.525074402858,8.2430189245829,1022.13434664828,3982.73685834882,834.519166175573,0.816447631284554,187.615180472707,112.626511073705,300.241691546412,-0.657759770630163,296.899956030452,175.475739797504,0.584448278630813,124.765951748908,177.199640525991,173.298246322003,87,2,8,17,12,0.00367863958388244,0.963832645654825
65,9,127,3,2,2,133,0.0133,78.2805553282601,85.6457634485623,7.3652081203022,979.572680000193,2578.27378208077,559.895529406184,0.571571197153104,419.677150594008,29.7467701800945,449.423920774103,0.172925236265116,510.05190869564,351.851940162471,0.782895444364486,97.5719806116321,172.700876815667,172.582602234249,67,4,25,34,7,0.00366344845110957,0.967496094105934
66,25,255,5,4,3,24,0.0024,41.4586913236778,54.0207737598781,12.5620824362003,301.489978468807,53.8094560601987,53.8094560601987,0.178478423506757,247.680522408608,117.397195818441,365.07771822705,8.9002399629295,215.753102688206,202.802259816328,0.555504347954211,162.275458410721,164.42280198862,164.42280198862,0,0,5,18,1,0.00349023859574628,0.970986332701681
67,10,135,3,3,2,131,0.0131,77.7350462318959,86.042681642297,8.3076354104011,1088.30023876254,1747.3265491293,486.129176828382,0.44668663987535,602.171061934162,6.23011379660481,608.401175730767,2.34265238663822,615.581597963966,499.791231514988,0.821483013925269,108.609944215779,159.423849134271,158.321187305942,45,3,21,59,6,0.00336071829318308,0.974347050994864
68,20,215,4,6,3,37,0.0037,29.4574912036658,36.54780138014,7.0903101764742,262.341476529545,208.629397484496,118.806924508973,0.452871296146694,143.534552020573,30.2849634415492,173.819515462122,3.92397824231042,195.113811031602,64.3766800809942,0.370365087659118,109.442835381128,158.462949382653,149.054046046021,11,1,11,6,9,0.00316400266915517,0.977511053664019
69,28,279,5,7,2,40,0.004,109.101819272836,113.46575234314,4.363933070304,174.55732281216,377.308767022924,97.3524924093281,0.557710732732126,77.2048304028319,63.0003680102062,140.205198413038,-0.292531817646262,83.4844274475422,49.0425651024212,0.349791346237705,91.1626333106169,148.976370622837,142.584130214389,21,3,5,4,10,0.00302666435796184,0.980537718021981
70,13,159,3,6,1,89,0.0089,133.376974061043,183.83696804374,50.459993982697,4490.93946446003,6578.46181564016,4164.12849481674,0.927228818773984,326.810969643288,6.953296094362,333.76426573765,9.03941978456701,861.999217094001,197.925743184192,0.5930105871183,135.838522553458,139.271734693339,139.271734693339,75,0,5,6,3,0.00295635141746868,0.983494069439449
71,27,271,5,6,3,9,0.0009,50.0429588413387,54.5501038750447,4.507145033706,40.564305303354,1.7361339976758,1.7361339976758,0.0427995496210865,38.8281713056782,123.713193862431,162.541365168109,6.00793887064163,58.8319442254499,58.8319442254499,0.361950597403944,103.70942094266,108.469915332335,108.469915332335,0,0,0,8,1,0.0023025144955044,0.985796583934954
