selected_pair_id,focal_state_id,focal_site,selection_reason,method,stage,observed_site,constraint_type,path_count,eligible_count,binding_count,binding_rate,mean_slack,min_slack,max_slack
2,12,1,top8_C_D_remaining_gap,saa,5,3,tank_capacity,84,84,0,0,77.5092283402022,67.2694542181492,84.0997665644894
2,12,1,top8_C_D_remaining_gap,saa,5,3,electrolyzer_capacity,84,24,7,0.291666666666667,67.3633788836232,0,120
2,12,1,top8_C_D_remaining_gap,saa,5,3,ordinary_shortage_positive,84,24,6,0.25,-0.365819710152132,-1.58579677669568,-0
2,12,1,top8_C_D_remaining_gap,saa,5,4,tank_capacity,84,84,0,0,64.619492861038,17.5542350472787,90.9538540702757
2,12,1,top8_C_D_remaining_gap,saa,5,4,electrolyzer_capacity,84,24,15,0.625,29.9704671984927,0,125.486591165372
2,12,1,top8_C_D_remaining_gap,saa,5,4,ordinary_shortage_positive,84,24,7,0.291666666666667,-0.836520076481836,-2.86806883365201,-0
2,12,1,top8_C_D_remaining_gap,saa,5,0,htt_aggregate_capacity,84,24,0,0,126.490822926387,72.1504065518109,147.047619047619
2,12,1,top8_C_D_remaining_gap,saa,6,1,tank_capacity,84,84,0,0,106.603502004091,72.1091108402203,179.653481478868
2,12,1,top8_C_D_remaining_gap,saa,6,1,electrolyzer_capacity,84,1,0,0,144.69377936745,144.69377936745,144.69377936745
2,12,1,top8_C_D_remaining_gap,saa,6,1,ordinary_shortage_positive,84,1,0,0,-0,-0,-0
2,12,1,top8_C_D_remaining_gap,saa,6,2,tank_capacity,84,84,0,0,116.16316728392,75.9702001409868,151.862239023078
2,12,1,top8_C_D_remaining_gap,saa,6,2,electrolyzer_capacity,84,1,0,0,200,200,200
2,12,1,top8_C_D_remaining_gap,saa,6,2,ordinary_shortage_positive,84,1,0,0,-0,-0,-0
2,12,1,top8_C_D_remaining_gap,saa,6,3,tank_capacity,84,84,0,0,77.593147106197,67.2694542181492,84.0997665644894
2,12,1,top8_C_D_remaining_gap,saa,6,3,electrolyzer_capacity,84,1,0,0,120,120,120
2,12,1,top8_C_D_remaining_gap,saa,6,3,ordinary_shortage_positive,84,1,0,0,-0,-0,-0
2,12,1,top8_C_D_remaining_gap,saa,6,4,tank_capacity,84,84,0,0,64.6519555990027,17.5542350472787,90.9538540702757
2,12,1,top8_C_D_remaining_gap,saa,6,4,electrolyzer_capacity,84,1,0,0,150,150,150
2,12,1,top8_C_D_remaining_gap,saa,6,4,ordinary_shortage_positive,84,1,0,0,-0,-0,-0
2,12,1,top8_C_D_remaining_gap,saa,6,0,htt_aggregate_capacity,84,1,0,0,134.17196837805,134.17196837805,134.17196837805
2,12,1,top8_C_D_remaining_gap,saa,7,1,tank_capacity,84,84,0,0,106.603502004091,72.1091108402203,179.653481478868
2,12,1,top8_C_D_remaining_gap,saa,7,1,electrolyzer_capacity,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,7,1,ordinary_shortage_positive,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,7,2,tank_capacity,84,84,0,0,116.16316728392,75.9702001409868,151.862239023078
2,12,1,top8_C_D_remaining_gap,saa,7,2,electrolyzer_capacity,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,7,2,ordinary_shortage_positive,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,7,3,tank_capacity,84,84,0,0,77.593147106197,67.2694542181492,84.0997665644894
2,12,1,top8_C_D_remaining_gap,saa,7,3,electrolyzer_capacity,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,7,3,ordinary_shortage_positive,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,7,4,tank_capacity,84,84,0,0,64.6519555990027,17.5542350472787,90.9538540702757
2,12,1,top8_C_D_remaining_gap,saa,7,4,electrolyzer_capacity,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,7,4,ordinary_shortage_positive,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,7,0,htt_aggregate_capacity,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,8,1,tank_capacity,84,84,0,0,106.603502004091,72.1091108402203,179.653481478868
2,12,1,top8_C_D_remaining_gap,saa,8,1,electrolyzer_capacity,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,8,1,ordinary_shortage_positive,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,8,2,tank_capacity,84,84,0,0,116.16316728392,75.9702001409868,151.862239023078
2,12,1,top8_C_D_remaining_gap,saa,8,2,electrolyzer_capacity,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,8,2,ordinary_shortage_positive,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,8,3,tank_capacity,84,84,0,0,77.593147106197,67.2694542181492,84.0997665644894
2,12,1,top8_C_D_remaining_gap,saa,8,3,electrolyzer_capacity,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,8,3,ordinary_shortage_positive,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,8,4,tank_capacity,84,84,0,0,64.6519555990027,17.5542350472787,90.9538540702757
2,12,1,top8_C_D_remaining_gap,saa,8,4,electrolyzer_capacity,84,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,8,4,ordinary_shortage_positive,84,0,0,NaN,NaN,NaN,NaN
