method,path_id,decision_stage,current_k,current_a,current_loc,current_lf,node_oos_path_count,node_oos_frequency,future_terminal_state_count,realized_terminal_state_probability,conditional_max_site_target_range_kg,site,archived_inventory_kg,realized_terminal_target_kg,node_conditional_mean_target_kg,saved_cut_count,active_cut_count,active_cut_rhs,chosen_active_cut_local_index,chosen_active_cut_source_iteration,chosen_marginal_value_of_1kg_inventory,chosen_marginal_value_rank,active_marginal_value_min,active_marginal_value_max,active_marginal_value_mean,envelope_update_count,last_envelope_update_iteration,iterations_since_last_envelope_update,last_forward_node_match,training_iteration_count,training_time_seconds,stop_flag,completed_backward_iterations
chi2_eta003,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,1,243.153970969527,231.297621603105,242.807320173124,1198,4,41405.637297891,215,215,1033.28,1,874.16,1033.28,953.72,10,215,983,0,1199,3600.8621352,2,1198
chi2_eta003,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,2,114.218032803913,121.918688071935,106.930820607498,1198,4,41405.637297891,215,215,958.4,3,958.4,1237.28,1028.12,10,215,983,0,1199,3600.8621352,2,1198
chi2_eta003,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,3,44.9922799597377,50.0952851168181,41.9245619752392,1198,4,41405.637297891,215,215,834.72,4,834.72,1237.28,1036,10,215,983,0,1199,3600.8621352,2,1198
chi2_eta003,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,4,149.530817776519,139.650041540419,130.105496866691,1198,4,41405.637297891,215,215,1033.28,2,754.4,1033.28,893.84,10,215,983,0,1199,3600.8621352,2,1198
chi2_eta003,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,1,237.907063002633,231.297621603105,248.780444161439,1198,3,22551.5944282624,746,746,380.884952544851,4,380.884952544851,506.09569734021,463.68464238187,15,746,452,0,1199,3600.8621352,2,1198
chi2_eta003,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,2,112.886711599577,121.918688071935,126.847966837358,1198,3,22551.5944282624,746,746,551.245756637393,1,458.771698781004,551.245756637393,490.642743645247,15,746,452,0,1199,3600.8621352,2,1198
chi2_eta003,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,3,51.1013269074879,50.0952851168181,48.0376134006663,1198,3,22551.5944282624,746,746,474.78364532614,2,474.445056832866,477.010756502151,475.413152887052,15,746,452,0,1199,3600.8621352,2,1198
chi2_eta003,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,4,150,139.650041540419,140.195852657213,1198,3,22551.5944282624,746,746,445.432278678514,3,445.432278678514,487.594870893497,473.472550501209,15,746,452,0,1199,3600.8621352,2,1198
chi2_eta003,5371,5,69,2,2,5,104,0.0104,13,0.00961538461538462,234.531627132872,1,207.460646374998,231.297621603105,68.4611393399898,1198,2,2198.0559342429,939,939,43.6388029952226,1,43.6388029952226,43.8062288005748,43.7225158978987,23,939,259,0,1199,3600.8621352,2,1198
chi2_eta003,5371,5,69,2,2,5,104,0.0104,13,0.00961538461538462,234.531627132872,2,105.57360582573,121.918688071935,20.3789286322719,1198,2,2198.0559342429,939,939,20.5321064684396,3,20.5321064684396,21.3744673984189,20.9532869334292,23,939,259,0,1199,3600.8621352,2,1198
chi2_eta003,5371,5,69,2,2,5,104,0.0104,13,0.00961538461538462,234.531627132872,3,36.6556193128288,50.0952851168181,5.85613735712593,1198,2,2198.0559342429,939,939,17.8775752489782,4,17.8775752489782,18.2865473290167,18.0820612889975,23,939,259,0,1199,3600.8621352,2,1198
chi2_eta003,5371,5,69,2,2,5,104,0.0104,13,0.00961538461538462,234.531627132872,4,95.5605552840821,139.650041540419,21.4346524590139,1198,2,2198.0559342429,939,939,38.1133261969581,2,38.1133261969581,46.8874078843872,42.5003670406726,23,939,259,0,1199,3600.8621352,2,1198
chi2_eta003,5371,6,142,3,4,6,13,0.0013,8,0.0769230769230769,242.490845037318,1,234.531627132872,231.297621603105,188.368509852039,1198,12,12715.6462442269,308,308,431,1,251,431,326,14,397,801,0,1199,3600.8621352,2,1198
chi2_eta003,5371,6,142,3,4,6,13,0.0013,8,0.0769230769230769,242.490845037318,2,121.918678398675,121.918688071935,79.2184680380246,1198,12,12715.6462442269,308,308,251,3,251,326,307.25,14,397,801,0,1199,3600.8621352,2,1198
chi2_eta003,5371,6,142,3,4,6,13,0.0013,8,0.0769230769230769,242.490845037318,3,44.7316246454212,50.0952851168181,26.8059084592273,1198,12,12715.6462442269,308,308,235.5,4,235.5,326,288.791666666667,14,397,801,0,1199,3600.8621352,2,1198
chi2_eta003,5371,6,142,3,4,6,13,0.0013,8,0.0769230769230769,242.490845037318,4,134.158496620671,139.650041540419,96.5800980202639,1198,12,12715.6462442269,308,308,326,2,326,326,326,14,397,801,0,1199,3600.8621352,2,1198
chi2_eta003,8092,5,125,3,2,5,20,0.002,12,0.05,252.702273520957,1,219.571975097769,231.297621603105,182.752703674127,1198,4,38667.161265722,911,911,509.114374729973,3,509.114374729973,521.928687031753,513.553195666979,29,911,287,0,1199,3600.8621352,2,1198
chi2_eta003,8092,5,125,3,2,5,20,0.002,12,0.05,252.702273520957,2,97.0582819287867,121.918688071935,80.1873791790112,1198,4,38667.161265722,911,911,537.52102902352,2,481.528387903266,537.530132992417,513.089165922328,29,911,287,0,1199,3600.8621352,2,1198
chi2_eta003,8092,5,125,3,2,5,20,0.002,12,0.05,252.702273520957,3,30.5303616971983,50.0952851168181,25.4619271246489,1198,4,38667.161265722,911,911,481.697172337806,4,476.824318085935,496.18424497011,484.100278943694,29,911,287,0,1199,3600.8621352,2,1198
