method,state,stage,site,OOS_count,active_path_share,terminal_event_path_share,mean_start_inventory_kg,mean_end_inventory_kg,median_end_inventory_kg,mean_production_kg,mean_prod_utilization,mean_storage_utilization,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_terminal_target_kg,mean_terminal_gap_kg
chi2_eta003,18,1,4,55,1,0,33.0235808462428,47.7055120125908,47.7055120125908,17.55,1,0.318036746750605,2.86806883365201,0,0,0,0,0,0
chi2_eta003,18,2,1,55,1,0,88.0243810123712,128.163558646506,103.034672143041,35.1,1,0.427211862155021,11.3232904536222,8.76641841570751,16.3624680877573,0,16.3624680877573,0,0
chi2_eta003,18,2,2,55,1,0,67.882050982103,76.8891785929169,79.0273925970099,23.4,1,0.384445892964584,6.9071710897798,5.3474872953134,0,7.48570129940637,-7.48570129940637,0,0
chi2_eta003,18,2,3,55,1,0,37.7163366656137,32.6427640691786,44.6638605818422,14.04,1,0.326427640691786,3.99757742903481,3.09489865473663,0,15.1159951674003,-15.1159951674003,0,0
chi2_eta003,18,2,4,55,1,0,47.7055120125908,65.6575329267601,54.8991761878037,17.55,1,0.437716886178401,5.83720746488,4.5191283599071,6.23922837904935,0,6.23922837904935,0,0
chi2_eta003,18,3,1,55,1,0,128.163558646506,169.366120065293,174.095834189614,35.1,1,0.564553733550977,7.48036560595804,14.1733243060258,13.9941275375726,0.411200512827651,13.5829270247449,0,0
chi2_eta003,18,3,2,55,1,0,76.8891785929169,88.9164442177456,88.5454050193701,23.4,1,0.444582221088728,4.79559570863917,9.08639186900053,0.20524580221428,6.78238446874634,-6.57713866653206,0,0
chi2_eta003,18,3,3,55,1,0,32.6427640691786,32.6322628418952,29.4075370582406,14.04,1,0.326322628418952,2.91029749359492,5.51424788260089,0.212331246600729,11.3525349802892,-11.1402037336885,0,0
chi2_eta003,18,3,4,55,1,0,65.6575329267601,82.9968951283976,91.837939350376,17.55,1,0.553312634189317,4.34505317383815,8.23273232937755,4.13441537547564,0,4.13441537547564,0,0
chi2_eta003,18,4,1,55,0.854545454545454,0.145454545454545,169.366120065293,210.598945379939,207.344229022887,29.9945454545455,1,0.701996484599798,1.12144639481738,5.83149876428892,13.1151731247115,0.755446869793176,12.3597262549183,36.756694330321,7.44569236656114
