a0,loc0,lfw0,seed_id,base_seed,derived_seed,mode,a6_Vmax_mps,path_group,path_count,metric,M0_mean,mode_mean,paired_difference_mean,paired_absolute_difference_mean,paired_difference_q05,paired_difference_median,paired_difference_q95,paired_difference_min,paired_difference_max,nonzero_difference_share
2,1,0,1,20260723,20360726,M6_MEDIAN,60,no_a6,1999,fullLoss,0,0,0,0,0,0,0,0,0,0
2,1,0,1,20260723,20360726,M6_MEDIAN,60,no_a6,1999,A0Share,0.00019706823108524,0.00019706823108524,0,0,0,0,0,0,0,0
2,1,0,1,20260723,20360726,M6_MEDIAN,60,no_a6,1999,reachableShare,0.999802931768915,0.999802931768915,0,0,0,0,0,0,0,0
2,1,0,1,20260723,20360726,M6_MEDIAN,60,no_a6,1999,CScenarioMean,19.0249788004148,19.0249788004148,0,0,0,0,0,0,0,0
2,1,0,1,20260723,20360726,M6_MEDIAN,60,no_a6,1999,W3Failed,0.0810405202601301,0.0810405202601301,0,0,0,0,0,0,0,0
2,1,0,1,20260723,20360726,M6_MEDIAN,60,no_a6,1999,W3Closed,0.0275137568784392,0.0275137568784392,0,0,0,0,0,0,0,0
2,1,0,1,20260723,20360726,M6_Q90,75,all_paths,2000,Dtotal,2.86064970133377,2.87319641055015,0.0125467092163762,0.0125467092163762,0,0,0,0,25.0934184327523,0.0005
2,1,0,1,20260723,20360726,M6_Q90,75,all_paths,2000,fullLoss,0,0,0,0,0,0,0,0,0,0
2,1,0,1,20260723,20360726,M6_Q90,75,all_paths,2000,A0Share,0.000196969696969697,0.000319444444444444,0.000122474747474747,0.000122474747474747,0,0,0,0,0.244949494949495,0.0005
2,1,0,1,20260723,20360726,M6_Q90,75,all_paths,2000,reachableShare,0.99980303030303,0.999680555555556,-0.000122474747474747,0.000122474747474747,0,0,0,-0.244949494949495,0,0.0005
2,1,0,1,20260723,20360726,M6_Q90,75,all_paths,2000,CScenarioMean,19.0250545335282,19.0251684920448,0.000113958516570451,0.000113958516570451,0,0,0,0,0.227917033140901,0.0005
2,1,0,1,20260723,20360726,M6_Q90,75,all_paths,2000,W3Failed,0.0835,0.0895,0.006,0.006,0,0,0,0,12,0.0005
2,1,0,1,20260723,20360726,M6_Q90,75,all_paths,2000,W3Closed,0.0275,0.0355,0.008,0.008,0,0,0,0,16,0.0005
2,1,0,1,20260723,20360726,M6_Q90,75,contains_a6,1,Dtotal,177.563210866541,202.656629299294,25.0934184327523,25.0934184327523,25.0934184327523,25.0934184327523,25.0934184327523,25.0934184327523,25.0934184327523,1
2,1,0,1,20260723,20360726,M6_Q90,75,contains_a6,1,fullLoss,0,0,0,0,0,0,0,0,0,0
2,1,0,1,20260723,20360726,M6_Q90,75,contains_a6,1,A0Share,0,0.244949494949495,0.244949494949495,0.244949494949495,0.244949494949495,0.244949494949495,0.244949494949495,0.244949494949495,0.244949494949495,1
2,1,0,1,20260723,20360726,M6_Q90,75,contains_a6,1,reachableShare,1,0.755050505050505,-0.244949494949495,0.244949494949495,-0.244949494949495,-0.244949494949495,-0.244949494949495,-0.244949494949495,-0.244949494949495,1
