unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,recomputed_path_probability,path_probability_abs_error,all_transitions_positive,minimum_component_transition_probability,is_observed_candidate,is_unobserved_candidate,nominal_record_count,in_nominal_path_support,formal_stream_identity_available,formal_three_period_DAC_status,sampling_coverage_R15000,highest_listed_level,listed_level_count,hit_grid_max,hit_grid_excess,hit_road_max,hit_road_excess
64,2,2,0,4,5,2,6,2,1,6,-1,3,1.52e-14,1.5200000000000004e-14,3.1554436208840472e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.279999999740098e-10,q995,3,0,1,0,1
65,2,2,0,4,5,2,6,2,1,6,5,3,1.9e-14,1.9000000000000007e-14,6.310887241768095e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.8499999995939024e-10,q995,3,0,1,0,1
66,2,2,0,4,5,2,6,2,2,6,4,2,1.976e-12,1.9760000000000005e-12,4.0389678347315804e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.963999956076449e-08,q995,3,0,1,0,1
67,2,2,0,4,5,2,6,2,2,6,5,2,7.6e-13,7.600000000000003e-13,3.0292258760486853e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.1399999935024332e-08,q995,3,0,1,0,1
68,2,2,0,4,5,2,6,3,1,6,0,3,3.8e-14,3.8e-14,0.0,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,5.699999998375609e-10,q995,3,0,1,0,1
69,2,3,0,3,0,2,5,3,1,6,0,3,6e-16,5.999999999999998e-16,1.9721522630525295e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.999999999959502e-12,q995,3,0,1,0,0
70,2,3,0,3,1,2,5,4,1,6,1,3,1.44e-15,1.4400000000000005e-15,5.9164567891575885e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.1599999999766734e-11,q995,3,1,0,1,0
71,2,3,0,3,1,2,5,4,2,6,1,2,5.76e-14,5.760000000000001e-14,1.262177448353619e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.63999999626777e-10,q995,3,0,0,0,1
72,2,3,0,3,5,2,5,2,1,6,5,3,1.872e-15,1.872000000000001e-15,7.888609052210118e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.807999999960579e-11,q995,3,0,1,0,0
73,2,3,0,3,6,2,5,3,1,6,0,3,5.76e-16,5.760000000000002e-16,1.9721522630525295e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.63999999996268e-12,q995,3,1,1,1,1
74,2,3,0,3,6,2,5,3,1,6,1,3,1.44e-15,1.4400000000000005e-15,5.9164567891575885e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.1599999999766734e-11,q995,3,1,0,1,0
75,2,3,0,3,6,2,5,4,1,6,1,3,1.44e-15,1.4400000000000005e-15,5.9164567891575885e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.1599999999766734e-11,q995,3,1,0,1,0
76,2,3,0,3,6,2,5,4,2,6,1,2,5.76e-14,5.760000000000001e-14,1.262177448353619e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.63999999626777e-10,q995,3,0,0,0,1
77,2,3,0,4,0,2,5,3,1,6,0,3,2.8e-15,2.7999999999999997e-15,3.944304526105059e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.199999999911806e-11,q995,3,0,1,0,1
78,2,3,0,4,0,2,6,3,1,6,0,3,1.5833333333333302e-14,1.5833333333333327e-14,2.524354896707238e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.374999999717983e-10,q995,3,0,1,0,1
79,2,3,0,4,1,2,5,4,2,6,1,2,2.688e-13,2.688000000000001e-13,1.0097419586828951e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.031999991872029e-09,q995,3,0,1,0,1
80,2,3,0,4,1,2,6,1,2,6,1,2,2.4624e-11,2.4624000000000003e-11,3.2311742677852644e-27,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,3.6935993179115115e-07,q995,3,0,1,0,1
81,2,3,0,4,1,2,6,3,1,6,0,3,9.88e-14,9.880000000000003e-14,2.524354896707238e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.4819999989019112e-09,q995,3,0,1,0,1
82,2,3,0,4,1,2,6,4,2,6,1,2,1.52e-12,1.5200000000000002e-12,2.0194839173657902e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.279999974009733e-08,q995,3,0,1,0,1
83,2,3,0,4,2,0,5,2,2,4,0,3,7.4977056e-10,7.497705600000002e-10,2.0679515313825692e-25,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,1.1246495161915286e-05,q995,3,1,1,1,1
84,2,3,0,4,2,1,4,3,2,6,0,2,5.05659e-09,5.0565900000000035e-09,3.308722450212111e-24,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,7.58459737404562e-05,q995,3,1,1,1,1
85,2,3,0,4,4,2,6,1,2,6,1,2,1.53216e-11,1.5321600000000005e-11,3.2311742677852644e-27,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.2982397359222716e-07,q995,3,0,1,0,1
86,2,3,0,4,5,2,5,2,1,6,5,3,8.736e-15,8.736000000000003e-15,3.1554436208840472e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.3103999999141484e-10,q995,3,0,1,0,1
87,2,3,0,4,5,2,6,2,1,6,5,3,4.94e-14,4.940000000000003e-14,2.524354896707238e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,7.409999997254778e-10,q995,3,0,1,0,1
88,2,3,0,4,6,2,5,3,1,6,0,3,2.688e-15,2.688000000000001e-15,1.1832913578315177e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.03199999991872e-11,q995,3,0,1,0,1
89,2,3,0,4,6,2,6,3,1,6,0,3,1.52e-14,1.5200000000000004e-14,3.1554436208840472e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.279999999740098e-10,q995,3,0,1,0,1
90,2,4,0,2,2,0,4,0,1,6,-2,2,2.8334472656250103e-09,2.83344726562501e-09,4.1359030627651384e-25,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,4.250080585974815e-05,q995,3,1,1,1,1
91,2,4,0,3,1,2,5,3,1,6,0,3,1.4976e-15,1.4976000000000005e-15,5.9164567891575885e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.2463999999747698e-11,q995,3,0,1,0,1
92,2,4,0,3,1,2,5,4,1,6,1,3,5.76e-16,5.760000000000002e-16,1.9721522630525295e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.63999999996268e-12,q995,3,1,1,1,1
93,2,4,0,3,1,2,5,4,2,6,1,2,2.304e-14,2.3040000000000005e-14,6.310887241768095e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,3.455999999402843e-10,q995,3,0,1,0,1
94,2,4,0,3,2,1,4,0,2,5,1,3,4.13437500000001e-08,4.134375000000006e-08,3.970466940254533e-23,True,0.012,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,0.0006199640056698494,q995,3,1,0,1,0
95,2,4,0,3,4,1,3,3,1,5,2,2,3.3960465e-08,3.3960465000000014e-08,1.3234889800848443e-23,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,0.0005092772579410159,q995,3,1,0,1,0
96,2,4,0,3,7,2,5,4,1,6,1,3,5.76e-16,5.760000000000002e-16,1.9721522630525295e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.63999999996268e-12,q995,3,1,0,1,1
97,2,4,0,3,7,2,5,4,2,6,1,2,2.304e-14,2.3040000000000005e-14,6.310887241768095e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,3.455999999402843e-10,q995,3,0,0,0,1
98,2,4,0,4,1,2,5,3,1,6,0,3,6.9888e-15,6.988800000000003e-15,2.3665827156630354e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.0483199999450548e-10,q995,3,0,1,0,1
99,2,4,0,4,1,2,5,4,2,6,1,2,1.0752e-13,1.0752000000000003e-13,2.524354896707238e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.6127999986995247e-09,q995,3,0,1,0,1
100,2,4,0,4,1,2,6,1,2,6,1,2,9.8496e-12,9.849600000000004e-12,3.2311742677852644e-27,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.4774398908658338e-07,q995,3,0,1,0,1
101,2,4,0,4,1,2,6,3,1,6,0,3,3.952e-14,3.952000000000002e-14,1.8932661725304283e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,5.927999998243059e-10,q995,3,0,1,0,1
