dataset_role,initial_state_id,a0,loc0,lfw0,record_count,weight_sum,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_rate,A0_share,reachable_C_mean_km,W3_failed_line_count_mean,W3_closed_road_count_mean,observed_candidate_records,unobserved_candidate_records,path_order_internal_ok,D_domain_ok,wind_range_ok,D_mean_delta_vs_nominal,D_q95_delta_vs_nominal,D_q99_delta_vs_nominal,full_loss_rate_delta_vs_nominal,A0_share_delta_vs_nominal,reachable_C_mean_delta_vs_nominal,failed_line_mean_delta_vs_nominal,closed_road_mean_delta_vs_nominal
validation-2,11,3,4,0,15000,0.999999999999968,34.8986716853503,243.842566074789,405.313258598587,0,0.00935404040404041,19.1941279573912,0.8924,0.267333333333333,4,0,1,1,1,-0.284810299211713,0,0,0,0.000462626262626265,-0.0137233769140011,0.000666666666666593,-0.00433333333333336
validation-2,12,3,5,0,15000,0.999999999999968,27.8622407695315,215.830673976487,405.313258598587,0,0.00842777777777778,19.1625232788267,0.755533333333333,0.233066666666667,11,0,1,1,1,-0.121939466673933,-2.97302457518518,0,0,-0.000560101010101011,-3.26057301904825e-05,0.00253333333333328,-0.00526666666666667
validation-2,13,3,6,0,15000,0.999999999999968,19.4575093873023,142.118757330278,384.583912936748,0,0.00584040404040404,19.134462595934,0.553,0.1666,4,0,1,1,1,-0.156706579748889,3.79128821973117,0.540054005400236,0,-0.000165151515151517,0.0141323205503809,-0.000599999999999934,0.00233333333333333
validation-2,14,3,7,0,15000,0.999999999999968,12.843957122985,87.2814554182691,329.514769658785,0,0.00471616161616161,19.090774691377,0.390933333333333,0.120666666666667,4,0,1,1,1,-0.00774622916837409,0,-2.70027002700226,0,-5.30303030303022e-05,-7.29908125585155e-05,-0.000799999999999967,0.00133333333333334
validation-2,15,4,1,0,15000,0.999999999999968,185.97119711971,532.689632599624,607.969887897881,0,0.0698348484848484,20.2042001613195,4.81826666666667,2.06873333333333,8,0,1,1,1,-0.660938821155327,0,0,0,0.000337373737373747,-0.032329499386897,-0.0302666666666669,-0.0149333333333335
validation-2,16,4,2,0,15000,0.999999999999968,189.965905681476,532.689632599624,607.969887897881,0,0.0786686868686864,20.2718867883732,5.05293333333333,2.24213333333333,12,0,1,1,1,0.488376110338351,0,0,0,0.00280959595959582,-0.0209109363990976,0.0431333333333335,0.0347333333333335
validation-2,17,4,3,0,15000,0.999999999999968,182.973806471555,527.234541635982,607.969887897881,0,0.0754257575757572,20.2951476226691,4.99066666666667,2.19213333333333,8,0,1,1,1,-0.666048423024108,-4.90958186727698,0,0,0.000355050505050358,0.0493830092122067,-0.0171333333333328,0.0165333333333333
validation-2,18,4,4,0,15000,0.999999999999968,163.006282446426,489.880806262444,607.969887897881,0,0.0716045454545453,20.1759330699635,4.60493333333333,2.01013333333333,11,0,1,1,1,0.530362127121663,-7.92351962468996,0,0,-0.00099040404040393,0.0105314053187122,0.0237999999999996,0.00633333333333352
validation-2,19,4,5,0,15000,0.999999999999968,130.254189055269,428.251916100701,607.969887897881,0,0.0616853535353535,19.9707813418768,3.8742,1.66726666666667,6,0,1,1,1,-1.50891452781639,0.300030002999847,0,0,1.21212121212064e-05,-0.0128453303414453,-0.0337333333333332,-0.00553333333333339
validation-2,20,4,6,0,15000,0.999999999999968,97.2493794834026,405.313258598587,547.418378201456,0,0.0478727272727273,19.817308223468,3.086,1.28313333333333,8,0,1,1,1,-0.275282073662069,0,0,0,0.000138888888888883,0.00579239031961976,-0.0176000000000003,-0.00566666666666671
validation-2,21,4,7,0,15000,0.999999999999968,67.2101028284648,364.945585467638,467.228541035922,0,0.0330838383838384,19.5602791983938,2.22433333333333,0.8806,9,0,1,1,1,0.0977552300685289,0,3.273054578185,0,-0.000399494949494948,-0.0110401513550116,0.0145333333333335,-0.00506666666666666
validation-2,22,5,1,0,15000,0.999999999999968,374.050023184134,607.969887897881,607.969887897881,0,0.24433535353535,21.3418007459777,10.8419333333333,6.16653333333333,11,0,1,1,1,-3.57175717571744,0,0,0,0.000241414141414181,0.0574315352642998,-0.0343999999999998,0.0148000000000001
validation-2,23,5,2,0,15000,0.999999999999968,385.058724054222,607.969887897881,607.969887897881,0,0.260657575757572,21.3516492825811,11.2572,6.47633333333333,10,0,1,1,1,-1.20493867568609,0,0,0,-0.000496969696969662,-0.0835926839213315,-0.0196000000000005,0.0187333333333335
validation-2,24,5,3,0,15000,0.999999999999968,369.492494704015,607.969887897881,607.969887897881,0,0.254242929292925,21.3946063721903,10.9199333333333,6.2116,14,0,1,1,1,0.150469592414368,0,0,0,-0.000287373737373864,0.0539317906116956,-0.0616000000000003,-0.0447333333333333
validation-2,25,5,4,0,15000,0.999999999999968,343.295893225685,607.969887897881,607.969887897881,0,0.238867171717168,21.1541530510735,10.3099333333333,5.74393333333333,8,0,1,1,1,0.00696433279688335,0,0,0,6.11111111110119e-05,-0.0842184928928305,-0.00233333333333263,-0.0244
validation-2,26,5,5,0,15000,0.999999999999968,294.068134086134,607.969887897881,607.969887897881,0,0.204357070707068,20.8896251999475,8.88453333333333,4.8222,6,0,1,1,1,0.236896416914476,0,0,0,6.1616161616096e-05,-0.0459065318398011,-0.013066666666667,-0.0120666666666667
validation-2,27,5,6,0,15000,0.999999999999968,235.135913591358,582.876469465128,607.969887897881,0,0.157284343434342,20.567030562395,7.2416,3.73333333333333,6,0,1,1,1,0.863977306821539,-8.20991190028076,0,0,-0.000454040404040373,-0.00701360653144789,-0.00453333333333372,0.0115333333333334
validation-2,28,5,7,0,15000,0.999999999999968,172.408131722263,532.689632599624,607.969887897881,0,0.115143939393939,20.1853304971762,5.54013333333333,2.6916,5,0,1,1,1,0.588367927701796,0,0,0,0.000613131313131329,0.0204787895275729,0.047133333333333,0.0242
validation-2,29,6,1,0,15000,0.999999999999968,463.322750456863,607.969887897881,607.969887897881,0,0.365749999999993,21.1766209830705,14.3686666666667,9.01953333333333,10,0,1,1,1,1.1849548591228,0,0,0,-0.000137373737373936,-0.0794991254636557,0.0696666666666665,0.0181333333333331
