tau,stage,hour_in_stage,bus,load_multiplier,p_base_kw,p_load_kw,q_load_kvar
5,1,5,22,0.698789,90,62.89101,27.95156
5,1,5,23,0.698789,90,62.89101,34.93945
5,1,5,24,0.698789,420,293.49138,139.7578
5,1,5,25,0.698789,420,293.49138,139.7578
5,1,5,26,0.698789,60,41.92734,17.469725
5,1,5,27,0.698789,60,41.92734,17.469725
5,1,5,28,0.698789,60,41.92734,13.97578
5,1,5,29,0.698789,120,83.85468,48.91523
5,1,5,30,0.698789,200,139.7578,419.2734
5,1,5,31,0.698789,150,104.81835,48.91523
5,1,5,32,0.698789,210,146.74569,69.8789
5,1,5,33,0.698789,60,41.92734,27.95156
6,1,6,1,0.677793,0,0,0
6,1,6,2,0.677793,100,67.7793,40.66758
6,1,6,3,0.677793,90,61.00137,27.11172
6,1,6,4,0.677793,120,81.33516,54.22344
6,1,6,5,0.677793,60,40.66758,20.33379
6,1,6,6,0.677793,60,40.66758,13.55586
6,1,6,7,0.677793,200,135.5586,67.7793
6,1,6,8,0.677793,200,135.5586,67.7793
6,1,6,9,0.677793,60,40.66758,13.55586
6,1,6,10,0.677793,60,40.66758,13.55586
6,1,6,11,0.677793,45,30.500685,20.33379
6,1,6,12,0.677793,60,40.66758,23.722755
6,1,6,13,0.677793,60,40.66758,23.722755
6,1,6,14,0.677793,120,81.33516,54.22344
6,1,6,15,0.677793,60,40.66758,6.77793
6,1,6,16,0.677793,60,40.66758,13.55586
6,1,6,17,0.677793,60,40.66758,13.55586
6,1,6,18,0.677793,90,61.00137,27.11172
6,1,6,19,0.677793,90,61.00137,27.11172
6,1,6,20,0.677793,90,61.00137,27.11172
6,1,6,21,0.677793,90,61.00137,27.11172
6,1,6,22,0.677793,90,61.00137,27.11172
6,1,6,23,0.677793,90,61.00137,33.88965
6,1,6,24,0.677793,420,284.67306,135.5586
6,1,6,25,0.677793,420,284.67306,135.5586
6,1,6,26,0.677793,60,40.66758,16.944825
6,1,6,27,0.677793,60,40.66758,16.944825
6,1,6,28,0.677793,60,40.66758,13.55586
6,1,6,29,0.677793,120,81.33516,47.44551
6,1,6,30,0.677793,200,135.5586,406.6758
6,1,6,31,0.677793,150,101.66895,47.44551
6,1,6,32,0.677793,210,142.33653,67.7793
6,1,6,33,0.677793,60,40.66758,27.11172
7,1,7,1,0.662719,0,0,0
7,1,7,2,0.662719,100,66.2719,39.76314
7,1,7,3,0.662719,90,59.64471,26.50876
7,1,7,4,0.662719,120,79.52628,53.01752
7,1,7,5,0.662719,60,39.76314,19.88157
7,1,7,6,0.662719,60,39.76314,13.25438
7,1,7,7,0.662719,200,132.5438,66.2719
7,1,7,8,0.662719,200,132.5438,66.2719
7,1,7,9,0.662719,60,39.76314,13.25438
7,1,7,10,0.662719,60,39.76314,13.25438
7,1,7,11,0.662719,45,29.822355,19.88157
7,1,7,12,0.662719,60,39.76314,23.195165
7,1,7,13,0.662719,60,39.76314,23.195165
7,1,7,14,0.662719,120,79.52628,53.01752
7,1,7,15,0.662719,60,39.76314,6.62719
7,1,7,16,0.662719,60,39.76314,13.25438
7,1,7,17,0.662719,60,39.76314,13.25438
7,1,7,18,0.662719,90,59.64471,26.50876
7,1,7,19,0.662719,90,59.64471,26.50876
7,1,7,20,0.662719,90,59.64471,26.50876
7,1,7,21,0.662719,90,59.64471,26.50876
7,1,7,22,0.662719,90,59.64471,26.50876
7,1,7,23,0.662719,90,59.64471,33.13595
7,1,7,24,0.662719,420,278.34198,132.5438
7,1,7,25,0.662719,420,278.34198,132.5438
7,1,7,26,0.662719,60,39.76314,16.567975
7,1,7,27,0.662719,60,39.76314,16.567975
7,1,7,28,0.662719,60,39.76314,13.25438
7,1,7,29,0.662719,120,79.52628,46.39033
7,1,7,30,0.662719,200,132.5438,397.6314
7,1,7,31,0.662719,150,99.40785,46.39033
7,1,7,32,0.662719,210,139.17099,66.2719
7,1,7,33,0.662719,60,39.76314,26.50876
8,1,8,1,0.707941,0,0,0
8,1,8,2,0.707941,100,70.7941,42.47646
8,1,8,3,0.707941,90,63.71469,28.31764
8,1,8,4,0.707941,120,84.95292,56.63528
8,1,8,5,0.707941,60,42.47646,21.23823
8,1,8,6,0.707941,60,42.47646,14.15882
8,1,8,7,0.707941,200,141.5882,70.7941
8,1,8,8,0.707941,200,141.5882,70.7941
8,1,8,9,0.707941,60,42.47646,14.15882
8,1,8,10,0.707941,60,42.47646,14.15882
8,1,8,11,0.707941,45,31.857345,21.23823
8,1,8,12,0.707941,60,42.47646,24.777935
8,1,8,13,0.707941,60,42.47646,24.777935
8,1,8,14,0.707941,120,84.95292,56.63528
8,1,8,15,0.707941,60,42.47646,7.07941
8,1,8,16,0.707941,60,42.47646,14.15882
8,1,8,17,0.707941,60,42.47646,14.15882
8,1,8,18,0.707941,90,63.71469,28.31764
8,1,8,19,0.707941,90,63.71469,28.31764
8,1,8,20,0.707941,90,63.71469,28.31764
8,1,8,21,0.707941,90,63.71469,28.31764
8,1,8,22,0.707941,90,63.71469,28.31764
8,1,8,23,0.707941,90,63.71469,35.39705
8,1,8,24,0.707941,420,297.33522,141.5882
8,1,8,25,0.707941,420,297.33522,141.5882
8,1,8,26,0.707941,60,42.47646,17.698525
8,1,8,27,0.707941,60,42.47646,17.698525
8,1,8,28,0.707941,60,42.47646,14.15882
8,1,8,29,0.707941,120,84.95292,49.55587
8,1,8,30,0.707941,200,141.5882,424.7646
8,1,8,31,0.707941,150,106.19115,49.55587
8,1,8,32,0.707941,210,148.66761,70.7941
8,1,8,33,0.707941,60,42.47646,28.31764
9,2,1,1,0.801077,0,0,0
9,2,1,2,0.801077,100,80.1077,48.06462
9,2,1,3,0.801077,90,72.09693,32.04308
9,2,1,4,0.801077,120,96.12924,64.08616
9,2,1,5,0.801077,60,48.06462,24.03231
9,2,1,6,0.801077,60,48.06462,16.02154
9,2,1,7,0.801077,200,160.2154,80.1077
9,2,1,8,0.801077,200,160.2154,80.1077
9,2,1,9,0.801077,60,48.06462,16.02154
9,2,1,10,0.801077,60,48.06462,16.02154
9,2,1,11,0.801077,45,36.048465,24.03231
9,2,1,12,0.801077,60,48.06462,28.037695
9,2,1,13,0.801077,60,48.06462,28.037695
9,2,1,14,0.801077,120,96.12924,64.08616
9,2,1,15,0.801077,60,48.06462,8.01077
9,2,1,16,0.801077,60,48.06462,16.02154
9,2,1,17,0.801077,60,48.06462,16.02154
9,2,1,18,0.801077,90,72.09693,32.04308
9,2,1,19,0.801077,90,72.09693,32.04308
9,2,1,20,0.801077,90,72.09693,32.04308
9,2,1,21,0.801077,90,72.09693,32.04308
9,2,1,22,0.801077,90,72.09693,32.04308
9,2,1,23,0.801077,90,72.09693,40.05385
