N,a0,loc0,lfw0,stage,stage_index,distribution_type,seed_pair_count,mean_pairwise_tv,max_pairwise_tv,mean_max_abs_error,std_max_abs_error,mean_tv_to_exact,std_tv_to_exact,seed_count
15000,3,5,0,W1,1,intensity,10,0.00455333333333332,0.00633333333333333,0.0027066666666666,0.000866153694341887,0.00314666666666659,0.000629638344166008,5
15000,3,5,0,W1,1,loc,10,0.0108133333333333,0.0169333333333333,0.00582666666666667,0.00234217372920493,0.00833333333333334,0.00314183244478618,5
15000,3,5,0,W1,1,lfw,10,0.00554666666666667,0.0104,0.00405333333333337,0.00210153383138231,0.00405333333333335,0.00210153383138231,5
15000,3,5,0,W1,1,joint,10,0.0310266666666667,0.0362666666666667,0.00384000000000003,0.0012087843985683,0.0223447333333333,0.00248169447488335,5
15000,3,5,0,W2,2,intensity,10,0.00634,0.00879999999999998,0.00368611111111102,0.000830870991753754,0.00457744444444434,0.00123647813527453,5
15000,3,5,0,W2,2,loc,10,0.0128933333333333,0.0164,0.00510596491228069,0.00208925109660372,0.010040350877193,0.00369834485868366,5
15000,3,5,0,W2,2,lfw,10,0.00506,0.0102666666666667,0.00311333333333335,0.00275938801588725,0.00336666666666668,0.00263175057919842,5
15000,3,5,0,W2,2,joint,10,0.0506333333333333,0.0574666666666666,0.00326379745704562,0.000389680535095238,0.0355232862355007,0.00331801652806428,5
15000,3,5,0,W3,3,intensity,10,0.00598,0.00899999999999999,0.00466934640740708,0.00151726468855324,0.00538225266666644,0.00144074071464247,5
15000,3,5,0,W3,3,loc,10,0.0129066666666667,0.0163333333333333,0.00427141089866301,0.00169965149365457,0.0100914899641357,0.002960237750483,5
15000,3,5,0,W3,3,lfw,10,0.00716666666666667,0.0103333333333333,0.004143,0.00161196422623665,0.004664,0.00144167759148077,5
15000,3,5,0,W3,3,joint,10,0.0564133333333333,0.0611333333333333,0.00282006705226243,0.000452988743209079,0.0400807108227741,0.00289414770607333,5
15000,3,6,0,W1,1,intensity,10,0.00792000000000001,0.0169333333333333,0.00438666666666675,0.00322331782140373,0.00513333333333342,0.00393841479673133,5
15000,3,6,0,W1,1,loc,10,0.01016,0.0139333333333333,0.00465333333333333,0.00104285931724062,0.0078,0.00177826382244655,5
15000,3,6,0,W1,1,lfw,10,0.00503333333333334,0.00966666666666669,0.00300000000000001,0.00238886304895586,0.00300000000000001,0.00238886304895585,5
15000,3,6,0,W1,1,joint,10,0.0298066666666667,0.0348666666666666,0.00402066666666669,0.000818459214690053,0.0215882000000001,0.00189321079195573,5
15000,3,6,0,W2,2,intensity,10,0.00561333333333334,0.0108666666666667,0.0033528888888887,0.00169859897787992,0.00379999999999973,0.00200712380974758,5
15000,3,6,0,W2,2,loc,10,0.0152,0.0208666666666667,0.00631536157466837,0.0023749030765535,0.00969394950791612,0.00325010161602633,5
15000,3,6,0,W2,2,lfw,10,0.00951333333333334,0.0186,0.00514,0.00406143105594844,0.00551333333333335,0.00382147441004995,5
15000,3,6,0,W2,2,joint,10,0.0508866666666666,0.0547333333333333,0.00368621266831736,0.00148204836876611,0.0354072490755015,0.00180329356472738,5
15000,3,6,0,W3,3,intensity,10,0.00802,0.0149333333333333,0.00473817674074089,0.0026395863191874,0.00528667125925932,0.00228949036623771,5
